 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 03/23/2022 11:31:02
File Marker Date: 03/22/2022 16:22:21
S = 0.5
CPW_lenght = 1000.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,8.090750292e-13,4.2859555362169
1.001000000000000,1.9122355366e-9,4.2902539472287
1.002000000000000,1.9120698913e-9,4.2945524038982
1.003000000000000,1.9119031358e-9,4.2988508918768
1.004000000000000,1.9116682126e-9,4.3031494111966
1.005000000000000,1.9113710614e-9,4.3074479618898
1.006000000000000,1.9109828164e-9,4.3117465439884
1.007000000000000,1.9105720894e-9,4.3160451575247
1.008000000000000,1.9100476756e-9,4.3203438025306
1.009000000000000,1.9094649750e-9,4.3246424790383
1.010000000000000,1.9088775560e-9,4.3289411870800
1.011000000000000,1.9081998204e-9,4.3332399266878
1.012000000000000,1.9074603563e-9,4.3375386978937
1.013000000000000,1.9066751511e-9,4.3418375007299
1.014000000000000,1.9058088441e-9,4.3461363352286
1.015000000000000,1.9049440358e-9,4.3504352014218
1.016000000000000,1.9039727572e-9,4.3547340993417
1.017000000000000,1.9029364196e-9,4.3590330290204
1.018000000000000,1.9018393527e-9,4.3633319904901
1.019000000000000,1.9007450613e-9,4.3676309837828
1.020000000000000,1.8995500728e-9,4.3719300089307
1.021000000000000,1.8982856398e-9,4.3762290659659
1.022000000000000,1.8969754101e-9,4.3805281549206
1.023000000000000,1.8956552439e-9,4.3848272758268
1.024000000000000,1.8942495350e-9,4.3891264287168
1.025000000000000,1.8927706069e-9,4.3934256136227
1.026000000000000,1.8912810207e-9,4.3977248305765
1.027000000000000,1.8896942344e-9,4.4020240796105
1.028000000000000,1.8881010644e-9,4.4063233607567
1.029000000000000,1.8864500517e-9,4.4106226740473
1.030000000000000,1.8847626793e-9,4.4149220195145
1.031000000000000,1.8829446335e-9,4.4192213971903
1.032000000000000,1.8811493474e-9,4.4235208071070
1.033000000000000,1.8793237522e-9,4.4278202492966
1.034000000000000,1.8773961830e-9,4.4321197237914
1.035000000000000,1.8754201525e-9,4.4364192306233
1.036000000000000,1.8734328533e-9,4.4407187698247
1.037000000000000,1.8713812722e-9,4.4450183414276
1.038000000000000,1.8692966619e-9,4.4493179454642
1.039000000000000,1.8671911794e-9,4.4536175819667
1.040000000000000,1.8650125888e-9,4.4579172509671
1.041000000000000,1.8627293596e-9,4.4622169524976
1.042000000000000,1.8604350283e-9,4.4665166865904
1.043000000000000,1.8581591266e-9,4.4708164532777
1.044000000000000,1.8557921311e-9,4.4751162525915
1.045000000000000,1.8534180857e-9,4.4794160845641
1.046000000000000,1.8509567212e-9,4.4837159492276
1.047000000000000,1.8484777597e-9,4.4880158466141
