 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 03/23/2022 11:29:19
File Marker Date: 03/22/2022 16:19:33
S = 4.0
CPW_lenght = 1000.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,8.865130852e-14,3.4660315400901
1.001000000000000,-8.224806752e-9,3.4695050586438
1.002000000000000,-1.533834942e-8,3.4729785991517
1.003000000000000,-2.241169372e-8,3.4764521603326
1.004000000000000,-2.944484959e-8,3.4799257422084
1.005000000000000,-3.643800120e-8,3.4833993448007
1.006000000000000,-4.339116724e-8,3.4868729681311
1.007000000000000,-5.030458294e-8,3.4903466122214
1.008000000000000,-5.717822191e-8,3.4938202770932
1.009000000000000,-6.401221639e-8,3.4972939627682
1.010000000000000,-7.080671754e-8,3.5007676692681
1.011000000000000,-7.756175213e-8,3.5042413966146
1.012000000000000,-8.427753298e-8,3.5077151448293
1.013000000000000,-9.095411171e-8,3.5111889139340
1.014000000000000,-9.759154937e-8,3.5146627039503
1.015000000000000,-1.041899917e-7,3.5181365148999
1.016000000000000,-1.107495134e-7,3.5216103468045
1.017000000000000,-1.172702949e-7,3.5250841996858
1.018000000000000,-1.237523566e-7,3.5285580735654
1.019000000000000,-1.301957364e-7,3.5320319684651
1.020000000000000,-1.366007411e-7,3.5355058844065
1.021000000000000,-1.429673575e-7,3.5389798214113
1.022000000000000,-1.492955958e-7,3.5424537795012
1.023000000000000,-1.555856903e-7,3.5459277586979
1.024000000000000,-1.618377487e-7,3.5494017590231
1.025000000000000,-1.680517299e-7,3.5528757804984
1.026000000000000,-1.742279361e-7,3.5563498231456
1.027000000000000,-1.803662525e-7,3.5598238869863
1.028000000000000,-1.864670567e-7,3.5632979720422
1.029000000000000,-1.925301275e-7,3.5667720783350
1.030000000000000,-1.985557910e-7,3.5702462058864
1.031000000000000,-2.045440584e-7,3.5737203547181
1.032000000000000,-2.104950197e-7,3.5771945248518
1.033000000000000,-2.164088724e-7,3.5806687163091
1.034000000000000,-2.222856318e-7,3.5841429291118
1.035000000000000,-2.281253720e-7,3.5876171632815
1.036000000000000,-2.339282973e-7,3.5910914188400
1.037000000000000,-2.396944286e-7,3.5945656958088
1.038000000000000,-2.454238641e-7,3.5980399942098
1.039000000000000,-2.511167655e-7,3.6015143140646
1.040000000000000,-2.567732155e-7,3.6049886553949
1.041000000000000,-2.623931993e-7,3.6084630182223
1.042000000000000,-2.679769185e-7,3.6119374025686
1.043000000000000,-2.735245100e-7,3.6154118084555
1.044000000000000,-2.790360139e-7,3.6188862359046
1.045000000000000,-2.845115579e-7,3.6223606849377
1.046000000000000,-2.899511450e-7,3.6258351555764
1.047000000000000,-2.953550192e-7,3.6293096478425
1.048000000000000,-3.007231673e-7,3.6327841617575
1.049000000000000,-3.060557338e-7,3.6362586973434
1.050000000000000,-3.113528649e-7,3.6397332546216
1.051000000000000,-3.166145209e-7,3.6432078336139
1.052000000000000,-3.218409313e-7,3.6466824343420
1.053000000000000,-3.270320916e-7,3.6501570568277
1.054000000000000,-3.321882089e-7,3.6536317010925
1.055000000000000,-3.373093139e-7,3.6571063671582
1.056000000000000,-3.423954834e-7,3.6605810550465
1.057000000000000,-3.474468687e-7,3.6640557647791
1.058000000000000,-3.524635631e-7,3.6675304963777
1.059000000000000,-3.574455978e-7,3.6710052498639
1.060000000000000,-3.623931550e-7,3.6744800252595
1.061000000000000,-3.673062748e-7,3.6779548225862
1.062000000000000,-3.721851253e-7,3.6814296418656
1.063000000000000,-3.770296457e-7,3.6849044831195
1.064000000000000,-3.818400627e-7,3.6883793463696
1.065000000000000,-3.866164520e-7,3.6918542316375
1.066000000000000,-3.913588589e-7,3.6953291389450
1.067000000000000,-3.960675500e-7,3.6988040683138
1.068000000000000,-4.007423856e-7,3.7022790197655
1.069000000000000,-4.053835134e-7,3.7057539933219
1.070000000000000,-4.099912453e-7,3.7092289890046
1.071000000000000,-4.145653523e-7,3.7127040068354
1.072000000000000,-4.191061598e-7,3.7161790468360
1.073000000000000,-4.236136761e-7,3.7196541090280
1.074000000000000,-4.280880660e-7,3.7231291934332
1.075000000000000,-4.325293279e-7,3.7266043000733
1.076000000000000,-4.369375549e-7,3.7300794289699
1.077000000000000,-4.413128928e-7,3.7335545801448
1.078000000000000,-4.456554556e-7,3.7370297536197
1.079000000000000,-4.499653078e-7,3.7405049494162
1.080000000000000,-4.542425622e-7,3.7439801675562
1.081000000000000,-4.584872605e-7,3.7474554080612
1.082000000000000,-4.626995451e-7,3.7509306709530
1.083000000000000,-4.668794516e-7,3.7544059562533
1.084000000000000,-4.710271356e-7,3.7578812639838
1.085000000000000,-4.751426915e-7,3.7613565941662
1.086000000000000,-4.792261874e-7,3.7648319468222
1.087000000000000,-4.832777291e-7,3.7683073219735
1.088000000000000,-4.872973056e-7,3.7717827196419
1.089000000000000,-4.912852467e-7,3.7752581398490
1.090000000000000,-4.952414038e-7,3.7787335826165
1.091000000000000,-4.991659573e-7,3.7822090479661
1.092000000000000,-5.030590169e-7,3.7856845359196
1.093000000000000,-5.069207162e-7,3.7891600464987
1.094000000000000,-5.107510181e-7,3.7926355797250
1.095000000000000,-5.145501171e-7,3.7961111356203
1.096000000000000,-5.183180800e-7,3.7995867142063
1.097000000000000,-5.220550460e-7,3.8030623155046
1.098000000000000,-5.257610142e-7,3.8065379395371
1.099000000000000,-5.294361322e-7,3.8100135863254
1.100000000000000,-5.330804364e-7,3.8134892558912
1.101000000000000,-5.366940911e-7,3.8169649482562
1.102000000000000,-5.402771285e-7,3.8204406634422
1.103000000000000,-5.438297538e-7,3.8239164014708
1.104000000000000,-5.473518774e-7,3.8273921623638
1.105000000000000,-5.508437032e-7,3.8308679461429
1.106000000000000,-5.543053241e-7,3.8343437528297
1.107000000000000,-5.577367130e-7,3.8378195824461
1.108000000000000,-5.611381463e-7,3.8412954350137
1.109000000000000,-5.645096108e-7,3.8447713105542
1.110000000000000,-5.678511941e-7,3.8482472090893
1.111000000000000,-5.711629111e-7,3.8517231306408
1.112000000000000,-5.744450513e-7,3.8551990752304
1.113000000000000,-5.776975350e-7,3.8586750428797
1.114000000000000,-5.809205302e-7,3.8621510336106
1.115000000000000,-5.841141014e-7,3.8656270474446
1.116000000000000,-5.872782554e-7,3.8691030844036
1.117000000000000,-5.904132313e-7,3.8725791445092
1.118000000000000,-5.935190699e-7,3.8760552277832
1.119000000000000,-5.965957794e-7,3.8795313342473
1.120000000000000,-5.996435440e-7,3.8830074639232
1.121000000000000,-6.026623863e-7,3.8864836168326
1.122000000000000,-6.056524536e-7,3.8899597929972
1.123000000000000,-6.086137878e-7,3.8934359924387
1.124000000000000,-6.115464390e-7,3.8969122151790
1.125000000000000,-6.144506410e-7,3.9003884612396
1.126000000000000,-6.173262929e-7,3.9038647306423
1.127000000000000,-6.201736016e-7,3.9073410234088
1.128000000000000,-6.229926748e-7,3.9108173395609
1.129000000000000,-6.257835082e-7,3.9142936791203
1.130000000000000,-6.285462448e-7,3.9177700421086
1.131000000000000,-6.312809874e-7,3.9212464285477
1.132000000000000,-6.339877380e-7,3.9247228384591
1.133000000000000,-6.366666079e-7,3.9281992718647
1.134000000000000,-6.393177555e-7,3.9316757287862
1.135000000000000,-6.419412753e-7,3.9351522092453
1.136000000000000,-6.445371400e-7,3.9386287132637
1.137000000000000,-6.471054800e-7,3.9421052408631
1.138000000000000,-6.496464662e-7,3.9455817920653
1.139000000000000,-6.521601190e-7,3.9490583668920
1.140000000000000,-6.546464812e-7,3.9525349653649
1.141000000000000,-6.571056874e-7,3.9560115875057
1.142000000000000,-6.595377780e-7,3.9594882333362
1.143000000000000,-6.619429698e-7,3.9629649028781
1.144000000000000,-6.643211994e-7,3.9664415961530
1.145000000000000,-6.666725965e-7,3.9699183131829
1.146000000000000,-6.689972644e-7,3.9733950539892
1.147000000000000,-6.712952198e-7,3.9768718185939
1.148000000000000,-6.735667031e-7,3.9803486070186
1.149000000000000,-6.758116684e-7,3.9838254192850
1.150000000000000,-6.780302048e-7,3.9873022554149
1.151000000000000,-6.802224792e-7,3.9907791154300
1.152000000000000,-6.823884798e-7,3.9942559993520
1.153000000000000,-6.845283586e-7,3.9977329072026
1.154000000000000,-6.866421443e-7,4.0012098390037
1.155000000000000,-6.887299055e-7,4.0046867947769
1.156000000000000,-6.907918266e-7,4.0081637745439
1.157000000000000,-6.928279642e-7,4.0116407783265
1.158000000000000,-6.948382937e-7,4.0151178061464
1.159000000000000,-6.968229753e-7,4.0185948580253
1.160000000000000,-6.987821081e-7,4.0220719339850
1.161000000000000,-7.007157452e-7,4.0255490340472
1.162000000000000,-7.026239789e-7,4.0290261582336
1.163000000000000,-7.045069511e-7,4.0325033065660
1.164000000000000,-7.063646246e-7,4.0359804790661
1.165000000000000,-7.081971698e-7,4.0394576757556
1.166000000000000,-7.100046787e-7,4.0429348966563
1.167000000000000,-7.117871342e-7,4.0464121417898
1.168000000000000,-7.135446763e-7,4.0498894111781
1.169000000000000,-7.152774097e-7,4.0533667048426
1.170000000000000,-7.169854062e-7,4.0568440228053
1.171000000000000,-7.186687027e-7,4.0603213650878
1.172000000000000,-7.203274791e-7,4.0637987317119
1.173000000000000,-7.219616902e-7,4.0672761226993
1.174000000000000,-7.235715074e-7,4.0707535380718
1.175000000000000,-7.251569827e-7,4.0742309778510
1.176000000000000,-7.267181349e-7,4.0777084420587
1.177000000000000,-7.282551983e-7,4.0811859307167
1.178000000000000,-7.297680985e-7,4.0846634438468
1.179000000000000,-7.312570501e-7,4.0881409814705
1.180000000000000,-7.327220873e-7,4.0916185436097
1.181000000000000,-7.341631392e-7,4.0950961302861
1.182000000000000,-7.355804839e-7,4.0985737415215
1.183000000000000,-7.369741252e-7,4.1020513773376
1.184000000000000,-7.383441279e-7,4.1055290377561
1.185000000000000,-7.396906612e-7,4.1090067227988
1.186000000000000,-7.410136138e-7,4.1124844324874
1.187000000000000,-7.423132792e-7,4.1159621668436
1.188000000000000,-7.435896287e-7,4.1194399258893
1.189000000000000,-7.448427418e-7,4.1229177096461
1.190000000000000,-7.460726704e-7,4.1263955181357
1.191000000000000,-7.472796066e-7,4.1298733513800
1.192000000000000,-7.484635031e-7,4.1333512094007
1.193000000000000,-7.496245407e-7,4.1368290922195
1.194000000000000,-7.507626649e-7,4.1403069998582
1.195000000000000,-7.518780955e-7,4.1437849323384
1.196000000000000,-7.529708766e-7,4.1472628896820
1.197000000000000,-7.540410441e-7,4.1507408719107
1.198000000000000,-7.550886946e-7,4.1542188790463
1.199000000000000,-7.561139093e-7,4.1576969111104
1.200000000000000,-7.571167105e-7,4.1611749681248
1.201000000000000,-7.580972768e-7,4.1646530501114
1.202000000000000,-7.590556135e-7,4.1681311570917
1.203000000000000,-7.599918586e-7,4.1716092890877
1.204000000000000,-7.609060159e-7,4.1750874461210
1.205000000000000,-7.617982055e-7,4.1785656282133
1.206000000000000,-7.626685641e-7,4.1820438353865
1.207000000000000,-7.635170042e-7,4.1855220676622
1.208000000000000,-7.643437594e-7,4.1890003250622
1.209000000000000,-7.651487339e-7,4.1924786076084
1.210000000000000,-7.659322331e-7,4.1959569153223
1.211000000000000,-7.666941841e-7,4.1994352482258
1.212000000000000,-7.674347051e-7,4.2029136063407
1.213000000000000,-7.681538579e-7,4.2063919896886
1.214000000000000,-7.688517011e-7,4.2098703982913
1.215000000000000,-7.695283745e-7,4.2133488321707
1.216000000000000,-7.701838080e-7,4.2168272913483
1.217000000000000,-7.708182835e-7,4.2203057758461
1.218000000000000,-7.714317117e-7,4.2237842856857
1.219000000000000,-7.720243161e-7,4.2272628208888
1.220000000000000,-7.725960275e-7,4.2307413814774
1.221000000000000,-7.731469851e-7,4.2342199674730
1.222000000000000,-7.736772113e-7,4.2376985788975
1.223000000000000,-7.741868802e-7,4.2411772157726
