 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 03/23/2022 11:32:39
File Marker Date: 03/22/2022 16:22:21
S = 1.0
CPW_lenght = 1000.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-9.54791801e-15,7.4373329339132
1.001000000000000,-1.822051132e-8,7.4448037407495
1.002000000000000,-3.142873428e-8,7.4522746433298
1.003000000000000,-4.459651204e-8,7.4597456426339
1.004000000000000,-5.772390788e-8,7.4672167387608
1.005000000000000,-7.081097197e-8,7.4746879318093
1.006000000000000,-8.385771522e-8,7.4821592218781
1.007000000000000,-9.686439917e-8,7.4896306090661
1.008000000000000,-1.098308045e-7,7.4971020934721
1.009000000000000,-1.227571869e-7,7.5045736751949
1.010000000000000,-1.356435451e-7,7.5120453543333
1.011000000000000,-1.484900223e-7,7.5195171309863
1.012000000000000,-1.612965572e-7,7.5269890052526
1.013000000000000,-1.740633355e-7,7.5344609772311
1.014000000000000,-1.867904174e-7,7.5419330470206
1.015000000000000,-1.994778056e-7,7.5494052147201
1.016000000000000,-2.121255642e-7,7.5568774804283
1.017000000000000,-2.247337461e-7,7.5643498442442
1.018000000000000,-2.373025312e-7,7.5718223062665
1.019000000000000,-2.498318903e-7,7.5792948665943
1.020000000000000,-2.623218247e-7,7.5867675253263
1.021000000000000,-2.747725898e-7,7.5942402825615
1.022000000000000,-2.871840827e-7,7.6017131383988
1.023000000000000,-2.995564548e-7,7.6091860929370
1.024000000000000,-3.118897303e-7,7.6166591462751
1.025000000000000,-3.241839894e-7,7.6241322985120
1.026000000000000,-3.364392742e-7,7.6316055497465
1.027000000000000,-3.486557278e-7,7.6390789000777
1.028000000000000,-3.608333885e-7,7.6465523496044
1.029000000000000,-3.729722080e-7,7.6540258984255
1.030000000000000,-3.850724168e-7,7.6614995466401
1.031000000000000,-3.971338904e-7,7.6689732943470
1.032000000000000,-4.091569215e-7,7.6764471416451
1.033000000000000,-4.211413307e-7,7.6839210886335
1.034000000000000,-4.330873937e-7,7.6913951354111
1.035000000000000,-4.449951028e-7,7.6988692820769
1.036000000000000,-4.568644871e-7,7.7063435287297
1.037000000000000,-4.686956452e-7,7.7138178754687
1.038000000000000,-4.804885738e-7,7.7212923223927
1.039000000000000,-4.922434289e-7,7.7287668696008
1.040000000000000,-5.039602438e-7,7.7362415171919
1.041000000000000,-5.156390654e-7,7.7437162652650
1.042000000000000,-5.272799721e-7,7.7511911139191
1.043000000000000,-5.388830240e-7,7.7586660632533
1.044000000000000,-5.504482754e-7,7.7661411133665
1.045000000000000,-5.619758345e-7,7.7736162643577
1.046000000000000,-5.734657229e-7,7.7810915163260
1.047000000000000,-5.849180096e-7,7.7885668693704
1.048000000000000,-5.963327598e-7,7.7960423235899
1.049000000000000,-6.077100472e-7,7.8035178790835
1.050000000000000,-6.190499022e-7,7.8109935359503
1.051000000000000,-6.303524176e-7,7.8184692942894
1.052000000000000,-6.416176281e-7,7.8259451541997
1.053000000000000,-6.528456846e-7,7.8334211157803
1.054000000000000,-6.640365144e-7,7.8408971791304
1.055000000000000,-6.751903392e-7,7.8483733443489
1.056000000000000,-6.863070909e-7,7.8558496115349
1.057000000000000,-6.973868805e-7,7.8633259807875
1.058000000000000,-7.084297242e-7,7.8708024522058
1.059000000000000,-7.194358305e-7,7.8782790258888
1.060000000000000,-7.304050624e-7,7.8857557019358
1.061000000000000,-7.413376162e-7,7.8932324804456
1.062000000000000,-7.522335359e-7,7.9007093615176
1.063000000000000,-7.630928585e-7,7.9081863452507
1.064000000000000,-7.739156511e-7,7.9156634317440
1.065000000000000,-7.847019465e-7,7.9231406210968
1.066000000000000,-7.954518528e-7,7.9306179134080
1.067000000000000,-8.061655021e-7,7.9380953087769
1.068000000000000,-8.168427761e-7,7.9455728073026
1.069000000000000,-8.274838923e-7,7.9530504090842
1.070000000000000,-8.380888665e-7,7.9605281142209
1.071000000000000,-8.486577148e-7,7.9680059228117
1.072000000000000,-8.591905609e-7,7.9754838349560
1.073000000000000,-8.696874125e-7,7.9829618507527
1.074000000000000,-8.801483922e-7,7.9904399703012
1.075000000000000,-8.905735402e-7,7.9979181937005
1.076000000000000,-9.009628612e-7,8.0053965210498
1.077000000000000,-9.113165149e-7,8.0128749524483
1.078000000000000,-9.216344987e-7,8.0203534879953
1.079000000000000,-9.319168170e-7,8.0278321277898
1.080000000000000,-9.421636953e-7,8.0353108719312
1.081000000000000,-9.523750391e-7,8.0427897205185
1.082000000000000,-9.625510775e-7,8.0502686736510
1.083000000000000,-9.726916326e-7,8.0577477314280
1.084000000000000,-9.827969680e-7,8.0652268939486
1.085000000000000,-9.928670996e-7,8.0727061613120
1.086000000000000,-1.002902011e-6,8.0801855336176
1.087000000000000,-1.012901911e-6,8.0876650109644
1.088000000000000,-1.022866672e-6,8.0951445934519
1.089000000000000,-1.032796454e-6,8.1026242811791
1.090000000000000,-1.042691331e-6,8.1101040742454
1.091000000000000,-1.052551415e-6,8.1175839727501
1.092000000000000,-1.062376604e-6,8.1250639767923
1.093000000000000,-1.072167086e-6,8.1325440864714
1.094000000000000,-1.081922928e-6,8.1400243018866
1.095000000000000,-1.091644084e-6,8.1475046231372
1.096000000000000,-1.101330723e-6,8.1549850503225
1.097000000000000,-1.110982879e-6,8.1624655835418
1.098000000000000,-1.120600634e-6,8.1699462228944
1.099000000000000,-1.130183880e-6,8.1774269684795
1.100000000000000,-1.139732928e-6,8.1849078203965
