 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 03/22/2022 16:07:40
File Marker Date: 03/14/2022 14:17:44
A_ppc = 7056.0
Al_ramp = 30.0
Al_ramp_Width = 2.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,9.5219720670e-5,-95.55242093829
1.001000000000000,9.5124594303e-5,-95.45692734050
1.002000000000000,9.5029658787e-5,-95.36162431220
1.003000000000000,9.4934912532e-5,-95.26651128340
1.004000000000000,9.4840355054e-5,-95.17158768636
1.005000000000000,9.4745985749e-5,-95.07685295562
1.006000000000000,9.4651804062e-5,-94.98230652796
1.007000000000000,9.4557809419e-5,-94.88794784240
1.008000000000000,9.4464001293e-5,-94.79377634017
1.009000000000000,9.4370379102e-5,-94.69979146474
1.010000000000000,9.4276942271e-5,-94.60599266178
1.011000000000000,9.4183690337e-5,-94.51237937913
1.012000000000000,9.4090622675e-5,-94.41895106683
1.013000000000000,9.3997738773e-5,-94.32570717710
1.014000000000000,9.3905038078e-5,-94.23264716431
1.015000000000000,9.3812520028e-5,-94.13977048497
1.016000000000000,9.3720184111e-5,-94.04707659775
1.017000000000000,9.3628029752e-5,-93.95456496344
1.018000000000000,9.3536056511e-5,-93.86223504494
1.019000000000000,9.3444263733e-5,-93.77008630728
1.020000000000000,9.3352650950e-5,-93.67811821756
1.021000000000000,9.3261217657e-5,-93.58633024500
1.022000000000000,9.3169963279e-5,-93.49472186087
1.023000000000000,9.3078887282e-5,-93.40329253851
1.024000000000000,9.2987989206e-5,-93.31204175334
1.025000000000000,9.2897268459e-5,-93.22096898280
1.026000000000000,9.2806724609e-5,-93.13007370639
1.027000000000000,9.2716357045e-5,-93.03935540562
1.028000000000000,9.2626165326e-5,-92.94881356402
1.029000000000000,9.2536148884e-5,-92.85844766714
1.030000000000000,9.2446307235e-5,-92.76825720252
1.031000000000000,9.2356639882e-5,-92.67824165968
1.032000000000000,9.2267146321e-5,-92.58840053012
1.033000000000000,9.2177826026e-5,-92.49873330734
1.034000000000000,9.2088678450e-5,-92.40923948675
1.035000000000000,9.1999703194e-5,-92.31991856574
1.036000000000000,9.1910899684e-5,-92.23077004365
1.037000000000000,9.1822267450e-5,-92.14179342172
1.038000000000000,9.1733805981e-5,-92.05298820313
1.039000000000000,9.1645514829e-5,-91.96435389298
1.040000000000000,9.1557393432e-5,-91.87588999826
1.041000000000000,9.1469441401e-5,-91.78759602786
1.042000000000000,9.1381658095e-5,-91.69947149256
1.043000000000000,9.1294043180e-5,-91.61151590500
1.044000000000000,9.1206596089e-5,-91.52372877969
1.045000000000000,9.1119316359e-5,-91.43610963303
1.046000000000000,9.1032203535e-5,-91.34865798323
1.047000000000000,9.0945257128e-5,-91.26137335036
1.048000000000000,9.0858476597e-5,-91.17425525632
1.049000000000000,9.0771861593e-5,-91.08730322483
1.050000000000000,9.0685411507e-5,-91.00051678142
1.051000000000000,9.0599125961e-5,-90.91389545343
1.052000000000000,9.0513004452e-5,-90.82743877001
1.053000000000000,9.0427046544e-5,-90.74114626208
1.054000000000000,9.0341251706e-5,-90.65501746234
1.055000000000000,9.0255619561e-5,-90.56905190529
1.056000000000000,9.0170149562e-5,-90.48324912715
1.057000000000000,9.0084841297e-5,-90.39760866592
1.058000000000000,8.9999694289e-5,-90.31213006136
1.059000000000000,8.9914708084e-5,-90.22681285493
1.060000000000000,8.9829882235e-5,-90.14165658986
1.061000000000000,8.9745216300e-5,-90.05666081108
1.062000000000000,8.9660709818e-5,-89.97182506524
1.063000000000000,8.9576362313e-5,-89.88714890069
1.064000000000000,8.9492173366e-5,-89.80263186749
1.065000000000000,8.9408142550e-5,-89.71827351737
1.066000000000000,8.9324269368e-5,-89.63407340376
1.067000000000000,8.9240553372e-5,-89.55003108177
1.068000000000000,8.9156994171e-5,-89.46614610815
1.069000000000000,8.9073591312e-5,-89.38241804133
1.070000000000000,8.8990344331e-5,-89.29884644138
1.071000000000000,8.8907252831e-5,-89.21543087003
1.072000000000000,8.8824316343e-5,-89.13217089062
1.073000000000000,8.8741534455e-5,-89.04906606813
1.074000000000000,8.8658906712e-5,-88.96611596916
1.075000000000000,8.8576432702e-5,-88.88332016193
1.076000000000000,8.8494111971e-5,-88.80067821626
1.077000000000000,8.8411944127e-5,-88.71818970356
1.078000000000000,8.8329928758e-5,-88.63585419684
1.079000000000000,8.8248065360e-5,-88.55367127068
1.080000000000000,8.8166353592e-5,-88.47164050126
1.081000000000000,8.8084792978e-5,-88.38976146631
1.082000000000000,8.8003383162e-5,-88.30803374511
1.083000000000000,8.7922123690e-5,-88.22645691852
1.084000000000000,8.7841014114e-5,-88.14503056894
1.085000000000000,8.7760054072e-5,-88.06375428029
1.086000000000000,8.7679243087e-5,-87.98262763805
1.087000000000000,8.7598580834e-5,-87.90165022920
1.088000000000000,8.7518066842e-5,-87.82082164226
1.089000000000000,8.7437700714e-5,-87.74014146725
1.090000000000000,8.7357482073e-5,-87.65960929569
1.091000000000000,8.7277410465e-5,-87.57922472062
1.092000000000000,8.7197485506e-5,-87.49898733654
1.093000000000000,8.7117706812e-5,-87.41889673945
1.094000000000000,8.7038073964e-5,-87.33895252683
1.095000000000000,8.6958586557e-5,-87.25915429764
1.096000000000000,8.6879244229e-5,-87.17950165226
1.097000000000000,8.6800046503e-5,-87.09999419258
1.098000000000000,8.6720993068e-5,-87.02063152192
1.099000000000000,8.6642083502e-5,-86.94141324502
1.100000000000000,8.6563317396e-5,-86.86233896810
1.101000000000000,8.6484694386e-5,-86.78340829878
1.102000000000000,8.6406214059e-5,-86.70462084611
1.103000000000000,8.6327876048e-5,-86.62597622057
1.104000000000000,8.6249679946e-5,-86.54747403404
1.105000000000000,8.6171625384e-5,-86.46911389980
1.106000000000000,8.6093711943e-5,-86.39089543255
1.107000000000000,8.6015939289e-5,-86.31281824836
1.108000000000000,8.5938307031e-5,-86.23488196469
1.109000000000000,8.5860814771e-5,-86.15708620039
1.110000000000000,8.5783462119e-5,-86.07943057568
1.111000000000000,8.5706248740e-5,-86.00191471214
1.112000000000000,8.5629174229e-5,-85.92453823272
1.113000000000000,8.5552238218e-5,-85.84730076172
1.114000000000000,8.5475440322e-5,-85.77020192479
1.115000000000000,8.5398780179e-5,-85.69324134893
1.116000000000000,8.5322257448e-5,-85.61641866246
1.117000000000000,8.5245871709e-5,-85.53973349504
1.118000000000000,8.5169622622e-5,-85.46318547767
1.119000000000000,8.5093509831e-5,-85.38677424264
1.120000000000000,8.5017532932e-5,-85.31049942358
1.121000000000000,8.4941691632e-5,-85.23436065541
1.122000000000000,8.4865985450e-5,-85.15835757436
1.123000000000000,8.4790414157e-5,-85.08248981795
1.124000000000000,8.4714977291e-5,-85.00675702500
1.125000000000000,8.4639674562e-5,-84.93115883560
1.126000000000000,8.4564505613e-5,-84.85569489112
1.127000000000000,8.4489470005e-5,-84.78036483423
1.128000000000000,8.4414567453e-5,-84.70516830883
1.129000000000000,8.4339797610e-5,-84.63010496010
1.130000000000000,8.4265160098e-5,-84.55517443447
1.131000000000000,8.4190654583e-5,-84.48037637963
1.132000000000000,8.4116280661e-5,-84.40571044450
1.133000000000000,8.4042038068e-5,-84.33117627927
1.134000000000000,8.3967926415e-5,-84.25677353531
1.135000000000000,8.3893945330e-5,-84.18250186528
1.136000000000000,8.3820094503e-5,-84.10836092302
1.137000000000000,8.3746373583e-5,-84.03435036360
1.138000000000000,8.3672782232e-5,-83.96046984331
1.139000000000000,8.3599320106e-5,-83.88671901964
1.140000000000000,8.3525986838e-5,-83.81309755128
1.141000000000000,8.3452782150e-5,-83.73960509813
1.142000000000000,8.3379705650e-5,-83.66624132125
1.143000000000000,8.3306757027e-5,-83.59300588293
1.144000000000000,8.3233935932e-5,-83.51989844660
1.145000000000000,8.3161242010e-5,-83.44691867689
1.146000000000000,8.3088674977e-5,-83.37406623959
1.147000000000000,8.3016234470e-5,-83.30134080167
1.148000000000000,8.2943920177e-5,-83.22874203125
1.149000000000000,8.2871731735e-5,-83.15626959759
1.150000000000000,8.2799668888e-5,-83.08392317112
1.151000000000000,8.2727731190e-5,-83.01170242343
1.152000000000000,8.2655918426e-5,-82.93960702721
1.153000000000000,8.2584230249e-5,-82.86763665631
1.154000000000000,8.2512666260e-5,-82.79579098572
1.155000000000000,8.2441226247e-5,-82.72406969153
1.156000000000000,8.2369909798e-5,-82.65247245097
1.157000000000000,8.2298716649e-5,-82.58099894237
1.158000000000000,8.2227646459e-5,-82.50964884520
1.159000000000000,8.2156698880e-5,-82.43842184000
1.160000000000000,8.2085873665e-5,-82.36731760844
1.161000000000000,8.2015170442e-5,-82.29633583326
1.162000000000000,8.1944588914e-5,-82.22547619832
1.163000000000000,8.1874128739e-5,-82.15473838856
1.164000000000000,8.1803789641e-5,-82.08412208998
1.165000000000000,8.1733571321e-5,-82.01362698968
1.166000000000000,8.1663473424e-5,-81.94325277585
1.167000000000000,8.1593495672e-5,-81.87299913770
1.168000000000000,8.1523637746e-5,-81.80286576554
1.169000000000000,8.1453899334e-5,-81.73285235075
1.170000000000000,8.1384280136e-5,-81.66295858572
1.171000000000000,8.1314779806e-5,-81.59318416393
1.172000000000000,8.1245398142e-5,-81.52352877990
1.173000000000000,8.1176134735e-5,-81.45399212917
1.174000000000000,8.1106989335e-5,-81.38457390835
1.175000000000000,8.1037961621e-5,-81.31527381506
1.176000000000000,8.0969051304e-5,-81.24609154794
1.177000000000000,8.0900258098e-5,-81.17702680669
1.178000000000000,8.0831581698e-5,-81.10807929199
1.179000000000000,8.0763021771e-5,-81.03924870557
1.180000000000000,8.0694578060e-5,-80.97053475014
1.181000000000000,8.0626250238e-5,-80.90193712944
1.182000000000000,8.0558038043e-5,-80.83345554820
1.183000000000000,8.0489941190e-5,-80.76508971216
1.184000000000000,8.0421959332e-5,-80.69683932803
1.185000000000000,8.0354092226e-5,-80.62870410355
1.186000000000000,8.0286339568e-5,-80.56068374740
1.187000000000000,8.0218701051e-5,-80.49277796927
1.188000000000000,8.0151176441e-5,-80.42498647984
1.189000000000000,8.0083765390e-5,-80.35730899072
1.190000000000000,8.0016467642e-5,-80.28974521452
1.191000000000000,7.9949282885e-5,-80.22229486482
1.192000000000000,7.9882210891e-5,-80.15495765614
1.193000000000000,7.9815251311e-5,-80.08773330397
1.194000000000000,7.9748403913e-5,-80.02062152476
1.195000000000000,7.9681668353e-5,-79.95362203588
1.196000000000000,7.9615044413e-5,-79.88673455569
1.197000000000000,7.9548531822e-5,-79.81995880344
1.198000000000000,7.9482130239e-5,-79.75329449937
1.199000000000000,7.9415839437e-5,-79.68674136461
1.200000000000000,7.9349659082e-5,-79.62029912124
1.201000000000000,7.9283588960e-5,-79.55396749226
1.202000000000000,7.9217628780e-5,-79.48774620161
1.203000000000000,7.9151778252e-5,-79.42163497411
1.204000000000000,7.9086037111e-5,-79.35563353552
1.205000000000000,7.9020405082e-5,-79.28974161252
1.206000000000000,7.8954881886e-5,-79.22395893268
1.207000000000000,7.8889467282e-5,-79.15828522446
1.208000000000000,7.8824160980e-5,-79.09272021725
1.209000000000000,7.8758962701e-5,-79.02726364132
1.210000000000000,7.8693872183e-5,-78.96191522782
1.211000000000000,7.8628889185e-5,-78.89667470882
1.212000000000000,7.8564013400e-5,-78.83154181724
1.213000000000000,7.8499244580e-5,-78.76651628689
1.214000000000000,7.8434582463e-5,-78.70159785247
1.215000000000000,7.8370026799e-5,-78.63678624955
1.216000000000000,7.8305577318e-5,-78.57208121456
1.217000000000000,7.8241233744e-5,-78.50748248481
1.218000000000000,7.8176995814e-5,-78.44298979844
1.219000000000000,7.8112863292e-5,-78.37860289450
1.220000000000000,7.8048835881e-5,-78.31432151286
1.221000000000000,7.7984913375e-5,-78.25014539425
1.222000000000000,7.7921095489e-5,-78.18607428025
1.223000000000000,7.7857381953e-5,-78.12210791329
1.224000000000000,7.7793772540e-5,-78.05824603663
1.225000000000000,7.7730266952e-5,-77.99448839437
1.226000000000000,7.7666864982e-5,-77.93083473147
1.227000000000000,7.7603566346e-5,-77.86728479369
1.228000000000000,7.7540370803e-5,-77.80383832762
1.229000000000000,7.7477278111e-5,-77.74049508070
1.230000000000000,7.7414288000e-5,-77.67725480117
1.231000000000000,7.7351400243e-5,-77.61411723810
1.232000000000000,7.7288614563e-5,-77.55108214135
1.233000000000000,7.7225930731e-5,-77.48814926163
1.234000000000000,7.7163348493e-5,-77.42531835044
1.235000000000000,7.7100867586e-5,-77.36258916006
1.236000000000000,7.7038487788e-5,-77.29996144362
1.237000000000000,7.6976208859e-5,-77.23743495500
1.238000000000000,7.6914030537e-5,-77.17500944892
1.239000000000000,7.6851952606e-5,-77.11268468086
1.240000000000000,7.6789974742e-5,-77.05046040709
1.241000000000000,7.6728096815e-5,-76.98833638470
