 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/03/2021 16:51:26
File Marker Date: 11/03/2021 16:38:39
PPC_Dim_will_be_squared = 100.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
4.000000000000000,-2.14467333e-13,3.0219736226480
4.000200000000000,-2.179162567e-8,3.0221264682387
4.000400000000000,-4.533681322e-8,3.0222793101382
4.000600000000000,-6.883666959e-8,3.0224321519932
4.000800000000000,-9.229126249e-8,3.0225849938040
4.001000000000000,-1.157006784e-7,3.0227378355706
4.001200000000000,-1.390648943e-7,3.0228906772934
4.001400000000000,-1.623839880e-7,3.0230435189724
4.001600000000000,-1.856579850e-7,3.0231963606078
4.001800000000000,-2.088869292e-7,3.0233492021999
4.002000000000001,-2.320709536e-7,3.0235020437488
4.002200000000000,-2.552099629e-7,3.0236548852547
4.002400000000001,-2.783041350e-7,3.0238077267177
4.002600000000000,-3.013534195e-7,3.0239605681382
4.002800000000001,-3.243577997e-7,3.0241134095162
4.003000000000000,-3.473174903e-7,3.0242662508519
4.003200000000001,-3.702324073e-7,3.0244190921456
4.003400000000000,-3.931026175e-7,3.0245719333973
4.003600000000000,-4.159281939e-7,3.0247247746074
4.003800000000000,-4.387091424e-7,3.0248776157759
4.004000000000000,-4.614455809e-7,3.0250304569031
4.004200000000000,-4.841374716e-7,3.0251832979891
4.004400000000000,-5.067848826e-7,3.0253361390341
4.004600000000000,-5.293878581e-7,3.0254889800383
4.004800000000000,-5.519464187e-7,3.0256418210020
4.005000000000000,-5.744606680e-7,3.0257946619252
4.005200000000000,-5.969305721e-7,3.0259475028081
4.005400000000000,-6.193562226e-7,3.0261003436510
4.005600000000000,-6.417376852e-7,3.0262531844540
4.005800000000001,-6.640748976e-7,3.0264060252173
4.006000000000000,-6.863680266e-7,3.0265588659411
4.006200000000001,-7.086170612e-7,3.0267117066256
4.006400000000000,-7.308220376e-7,3.0268645472710
4.006600000000001,-7.529829894e-7,3.0270173878773
4.006800000000000,-7.750999957e-7,3.0271702284449
4.007000000000001,-7.971730603e-7,3.0273230689739
4.007200000000000,-8.192022509e-7,3.0274759094645
4.007400000000001,-8.411875916e-7,3.0276287499168
4.007600000000000,-8.631291248e-7,3.0277815903312
4.007800000000000,-8.850269548e-7,3.0279344307076
4.008000000000000,-9.068810493e-7,3.0280872710464
4.008200000000000,-9.286914541e-7,3.0282401113476
4.008400000000000,-9.504582756e-7,3.0283929516116
4.008600000000000,-9.721814760e-7,3.0285457918384
4.008800000000000,-9.938611971e-7,3.0286986320283
4.009000000000000,-1.015497372e-6,3.0288514721814
4.009200000000000,-1.037090061e-6,3.0290043122979
4.009400000000000,-1.058639352e-6,3.0291571523780
4.009600000000000,-1.080145318e-6,3.0293099924219
4.009800000000000,-1.101607903e-6,3.0294628324298
4.010000000000001,-1.123027222e-6,3.0296156724018
4.010200000000000,-1.144403302e-6,3.0297685123381
4.010400000000001,-1.165736114e-6,3.0299213522390
4.010600000000000,-1.187025821e-6,3.0300741921045
4.010800000000001,-1.208272430e-6,3.0302270319349
4.011000000000000,-1.229475955e-6,3.0303798717304
4.011200000000001,-1.250636417e-6,3.0305327114911
4.011400000000000,-1.271753896e-6,3.0306855512173
4.011600000000000,-1.292828443e-6,3.0308383909090
4.011800000000000,-1.313860032e-6,3.0309912305666
4.012000000000000,-1.334848791e-6,3.0311440701901
4.012200000000000,-1.355794756e-6,3.0312969097797
4.012400000000000,-1.376697847e-6,3.0314497493357
4.012600000000000,-1.397558288e-6,3.0316025888582
4.012800000000000,-1.418376014e-6,3.0317554283474
4.013000000000000,-1.439151010e-6,3.0319082678035
4.013200000000000,-1.459883459e-6,3.0320611072267
4.013400000000000,-1.480573330e-6,3.0322139466171
4.013600000000000,-1.501220648e-6,3.0323667859749
4.013800000000000,-1.521825470e-6,3.0325196253003
4.014000000000000,-1.542387896e-6,3.0326724645936
4.014200000000001,-1.562907872e-6,3.0328253038548
4.014400000000000,-1.583385514e-6,3.0329781430841
4.014600000000001,-1.603820799e-6,3.0331309822818
4.014800000000000,-1.624213816e-6,3.0332838214480
4.015000000000001,-1.644564603e-6,3.0334366605829
4.015200000000000,-1.664873210e-6,3.0335894996867
4.015400000000001,-1.685139602e-6,3.0337423387596
4.015600000000000,-1.705363898e-6,3.0338951778017
4.015800000000000,-1.725546153e-6,3.0340480168132
4.016000000000000,-1.745686373e-6,3.0342008557943
4.016200000000000,-1.765784592e-6,3.0343536947452
4.016400000000000,-1.785840888e-6,3.0345065336661
4.016600000000000,-1.805855287e-6,3.0346593725571
4.016800000000000,-1.825827722e-6,3.0348122114185
