 Sonnet Data File
 From: em Version : 17.56
 From Project: AlHybridV0_0_3_PEC
 Data is De-embedded 
 Data File Written: 11/04/2021 11:30:33
Project Date: 11/03/2021 16:38:39
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
PPC_Dim_will_be_squared = 100.0
1.000000000000000,-8.20593982e-10,3.6768734219105
1.001000000000000,-3.184466996e-8,3.6805604292305
1.002000000000000,-6.279177578e-8,3.6842474592824
1.003000000000000,-9.366214626e-8,3.6879345120903
1.004000000000000,-1.244557793e-7,3.6916215876776
1.005000000000000,-1.551728701e-7,3.6953086860683
1.006000000000000,-1.858134219e-7,3.6989958072861
1.007000000000000,-2.163776173e-7,3.7026829513547
1.008000000000000,-2.468654891e-7,3.7063701182979
1.009000000000000,-2.772771853e-7,3.7100573081395
1.010000000000000,-3.076128065e-7,3.7137445209032
1.011000000000000,-3.378723724e-7,3.7174317566127
1.012000000000000,-3.680559909e-7,3.7211190152918
1.013000000000000,-3.981639340e-7,3.7248062969644
1.014000000000000,-4.281960808e-7,3.7284936016540
1.015000000000000,-4.581526803e-7,3.7321809293846
1.016000000000000,-4.880337112e-7,3.7358682801798
1.017000000000000,-5.178393125e-7,3.7395556540635
1.018000000000000,-5.475696787e-7,3.7432430510593
1.019000000000000,-5.772247736e-7,3.7469304711911
1.020000000000000,-6.068047069e-7,3.7506179144826
1.021000000000000,-6.363097044e-7,3.7543053809575
1.022000000000000,-6.657397389e-7,3.7579928706397
1.023000000000000,-6.950949315e-7,3.7616803835529
1.024000000000000,-7.243753948e-7,3.7653679197208
1.025000000000000,-7.535812606e-7,3.7690554791673
1.026000000000000,-7.827125119e-7,3.7727430619161
1.027000000000000,-8.117694194e-7,3.7764306679909
1.028000000000000,-8.407519170e-7,3.7801182974156
1.029000000000000,-8.696601896e-7,3.7838059502138
1.030000000000000,-8.984942944e-7,3.7874936264094
1.031000000000000,-9.272543424e-7,3.7911813260261
1.032000000000000,-9.559404581e-7,3.7948690490878
1.033000000000000,-9.845527156e-7,3.7985567956181
1.034000000000000,-1.013091162e-6,3.8022445656408
1.035000000000000,-1.041555935e-6,3.8059323591798
1.036000000000000,-1.069947197e-6,3.8096201762587
1.037000000000000,-1.098264916e-6,3.8133080169014
1.038000000000000,-1.126509359e-6,3.8169958811316
1.039000000000000,-1.154680459e-6,3.8206837689731
1.040000000000000,-1.182778380e-6,3.8243716804497
1.041000000000000,-1.210803204e-6,3.8280596155851
1.042000000000000,-1.238755012e-6,3.8317475744032
1.043000000000000,-1.266633916e-6,3.8354355569276
1.044000000000000,-1.294440019e-6,3.8391235631823
1.045000000000000,-1.322173423e-6,3.8428115931908
1.046000000000000,-1.349834294e-6,3.8464996469771
1.047000000000000,-1.377422573e-6,3.8501877245649
1.048000000000000,-1.404938394e-6,3.8538758259780
1.049000000000000,-1.432381865e-6,3.8575639512401
1.050000000000000,-1.459753236e-6,3.8612521003751
1.051000000000000,-1.487052423e-6,3.8649402734067
