 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/07/2022 11:59:55
File Marker Date: 02/03/2022 17:47:21
PPC_Dim_will_be_squared = 100.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,7.049916206e-15,4.3470430059711
1.001000000000000,-5.15143483e-14,4.3458678135413
1.002000000000000,-1.16018306e-13,4.3331335587981
1.003000000000000,-2.00450767e-13,4.3591837917819
1.004000000000000,-1.02862163e-13,4.3487492336927
1.005000000000000,-2.49800181e-13,4.3546518213334
1.006000000000000,-8.12683254e-14,4.3630459737758
1.007000000000000,1.353361867e-13,4.3769134381529
1.008000000000000,3.396172232e-13,4.3765147304428
1.009000000000000,1.475486400e-13,4.3606142555067
1.010000000000000,1.147970607e-13,4.3619479020739
1.011000000000000,1.282862705e-13,4.3824580817905
1.012000000000000,6.866729407e-14,4.3839652496729
1.013000000000000,-7.90478794e-14,4.3987808119864
1.014000000000000,-1.33726363e-13,4.4161672018046
1.015000000000000,-3.86413124e-13,4.3873934179682
1.016000000000000,-1.57762692e-13,4.4034820195505
1.017000000000000,2.109423747e-14,4.3926904293763
1.018000000000000,-3.41671136e-13,4.4112100127447
1.019000000000000,1.607602940e-13,4.4262935070741
1.020000000000000,-4.99600361e-16,4.4347583210016
1.021000000000000,8.942846463e-14,4.4306785950372
1.022000000000000,-1.22568622e-13,4.4414427593345
1.023000000000000,3.752553823e-14,4.4418527418072
1.024000000000000,1.447730824e-13,4.4480905067545
1.025000000000000,2.066680160e-13,4.4733267286583
1.026000000000000,1.965649865e-13,4.4511489962097
1.027000000000000,3.487765632e-13,4.4389780159551
1.028000000000000,1.885713807e-13,4.4573725086405
1.029000000000000,-2.03392858e-13,4.4720459969844
1.030000000000000,-1.35003120e-13,4.4637956118398
1.031000000000000,3.448352714e-13,4.4661852037843
1.032000000000000,-1.61537450e-13,4.4653213396801
1.033000000000000,-7.88813459e-14,4.4832267527005
1.034000000000000,-1.48936419e-13,4.4872377764262
1.035000000000000,3.152478278e-13,4.4727201678080
1.036000000000000,3.275713034e-13,4.4974596251876
1.037000000000000,-1.70863323e-13,4.4868488551965
1.038000000000000,-2.36088926e-13,4.4962851892159
1.039000000000000,-2.06057393e-13,4.5015636101678
1.040000000000000,-1.63924430e-13,4.5300626957996
1.041000000000000,-1.37279077e-13,4.5242692937022
1.042000000000000,-5.30964162e-13,4.5092317050108
1.043000000000000,-6.73350264e-14,4.4933543673713
1.044000000000000,7.333023078e-14,4.5303502775960
1.045000000000000,-2.57460719e-13,4.5320271177125
1.046000000000000,-6.80011603e-14,4.5601226590457
1.047000000000000,-2.35478304e-13,4.5312976263086
1.048000000000000,8.065770274e-14,4.5445468377504
