 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/07/2022 11:58:58
File Marker Date: 02/03/2022 17:47:21
PPC_Dim_will_be_squared = 100.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-3.08919557e-13,4.0071822979067
1.001000000000000,4.078797300e-10,4.0112037119024
1.002000000000000,-4.564515099e-9,4.0152251489472
1.003000000000000,-9.510115584e-9,4.0192466103298
1.004000000000000,-1.442896219e-8,4.0232680960787
1.005000000000000,-1.932115995e-8,4.0272896062220
1.006000000000000,-2.418666917e-8,4.0313111407881
1.007000000000000,-2.902557827e-8,4.0353326998051
1.008000000000000,-3.383803548e-8,4.0393542833013
1.009000000000000,-3.862396508e-8,4.0433758913051
1.010000000000000,-4.338351334e-8,4.0473975238446
1.011000000000000,-4.811672055e-8,4.0514191809482
1.012000000000000,-5.282357307e-8,4.0554408626442
1.013000000000000,-5.750422594e-8,4.0594625689607
1.014000000000000,-6.215869192e-8,4.0634842999261
1.015000000000000,-6.678703862e-8,4.0675060555686
1.016000000000000,-7.138938274e-8,4.0715278359165
1.017000000000000,-7.596557627e-8,4.0755496409981
1.018000000000000,-8.051594713e-8,4.0795714708417
1.019000000000000,-8.504033161e-8,4.0835933254755
1.020000000000000,-8.953890740e-8,4.0876152049278
1.021000000000000,-9.401173934e-8,4.0916371092268
1.022000000000000,-9.845881704e-8,4.0956590384009
1.023000000000000,-1.028802435e-7,4.0996809924784
1.024000000000000,-1.072760351e-7,4.1037029714874
1.025000000000000,-1.116462879e-7,4.1077249754563
1.026000000000000,-1.159910369e-7,4.1117470044133
1.027000000000000,-1.203103386e-7,4.1157690583868
1.028000000000000,-1.246042865e-7,4.1197911374049
1.029000000000000,-1.288728935e-7,4.1238132414961
1.030000000000000,-1.331161628e-7,4.1278353706885
1.031000000000000,-1.373343115e-7,4.1318575250104
1.032000000000000,-1.415272559e-7,4.1358797044901
1.033000000000000,-1.456951172e-7,4.1399019091560
1.034000000000000,-1.498378610e-7,4.1439241390362
1.035000000000000,-1.539557187e-7,4.1479463941590
1.036000000000000,-1.580485687e-7,4.1519686745528
1.037000000000000,-1.621165570e-7,4.1559909802458
1.038000000000000,-1.661597616e-7,4.1600133112663
1.039000000000000,-1.701781374e-7,4.1640356676426
1.040000000000000,-1.741718363e-7,4.1680580494029
1.041000000000000,-1.781408703e-7,4.1720804565756
1.042000000000000,-1.820853238e-7,4.1761028891889
1.043000000000000,-1.860051855e-7,4.1801253472711
1.044000000000000,-1.899005603e-7,4.1841478308505
1.045000000000000,-1.937715466e-7,4.1881703399554
1.046000000000000,-1.976181635e-7,4.1921928746140
1.047000000000000,-2.014403787e-7,4.1962154348547
1.048000000000000,-2.052384035e-7,4.2002380207057
1.049000000000000,-2.090122079e-7,4.2042606321954
1.050000000000000,-2.127618492e-7,4.2082832693519
1.051000000000000,-2.164873524e-7,4.2123059322037
1.052000000000000,-2.201888473e-7,4.2163286207789
1.053000000000000,-2.238663454e-7,4.2203513351059
1.054000000000000,-2.275199142e-7,4.2243740752130
1.055000000000000,-2.311495886e-7,4.2283968411284
1.056000000000000,-2.347554099e-7,4.2324196328804
1.057000000000000,-2.383375107e-7,4.2364424504974
1.058000000000000,-2.418958474e-7,4.2404652940076
1.059000000000000,-2.454305722e-7,4.2444881634393
1.060000000000000,-2.489416476e-7,4.2485110588208
1.061000000000000,-2.524292031e-7,4.2525339801804
1.062000000000000,-2.558932141e-7,4.2565569275464
1.063000000000000,-2.593338407e-7,4.2605799009471
1.064000000000000,-2.627510552e-7,4.2646029004107
1.065000000000000,-2.661449777e-7,4.2686259259657
1.066000000000000,-2.695155701e-7,4.2726489776402
1.067000000000000,-2.728629084e-7,4.2766720554625
1.068000000000000,-2.761870938e-7,4.2806951594610
1.069000000000000,-2.794882292e-7,4.2847182896639
1.070000000000000,-2.827662216e-7,4.2887414460996
1.071000000000000,-2.860212405e-7,4.2927646287964
1.072000000000000,-2.892533379e-7,4.2967878377824
1.073000000000000,-2.924624780e-7,4.3008110730862
