 Sonnet Data File
 From: em Version : 17.56
 From Project: AlHybridV0_0_3_SC
 Data is De-embedded 
 Data File Written: 11/04/2021 11:30:36
Project Date: 11/03/2021 16:38:39
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
PPC_Dim_will_be_squared = 100.0
1.000000000000000,3.8666196911e-8,5.4507874225561
1.001000000000000,4.5836493145e-7,5.4562612671224
1.002000000000000,8.7276781924e-7,5.4617351454192
1.003000000000000,1.2819228737e-6,5.4672090575665
1.004000000000000,1.6858780653e-6,5.4726830036839
1.005000000000000,2.0846806627e-6,5.4781569838909
1.006000000000000,2.4783776793e-6,5.4836309983064
1.007000000000000,2.8670157144e-6,5.4891050470493
1.008000000000000,3.2506409914e-6,5.4945791302382
1.009000000000000,3.6292992995e-6,5.5000532479914
1.010000000000000,4.0030361484e-6,5.5055274004268
1.011000000000000,4.3718966619e-6,5.5110015876622
1.012000000000000,4.7359254484e-6,5.5164758098150
1.013000000000000,5.0951669422e-6,5.5219500670025
1.014000000000000,5.4496651001e-6,5.5274243593415
1.015000000000000,5.7994634650e-6,5.5328986869488
1.016000000000000,6.1446053097e-6,5.5383730499406
1.017000000000000,6.4851335903e-6,5.5438474484332
1.018000000000000,6.8210908833e-6,5.5493218825424
1.019000000000000,7.1525192454e-6,5.5547963523838
1.020000000000000,7.4794605539e-6,5.5602708580727
1.021000000000000,7.8019563645e-6,5.5657453997243
1.022000000000000,8.1200477879e-6,5.5712199774532
1.023000000000000,8.4337756566e-6,5.5766945913742
1.024000000000000,8.7431804019e-6,5.5821692416014
1.025000000000000,9.0483021693e-6,5.5876439282490
1.026000000000000,9.3491808193e-6,5.5931186514307
1.027000000000000,9.6458557388e-6,5.5985934112600
1.028000000000000,9.9383661372e-6,5.6040682078503
1.029000000000000,1.0226750837e-5,5.6095430413145
1.030000000000000,1.0511048254e-5,5.6150179117654
1.031000000000000,1.0791296723e-5,5.6204928193156
1.032000000000000,1.1067534010e-5,5.6259677640773
1.033000000000000,1.1339797661e-5,5.6314427461626
1.034000000000000,1.1608124909e-5,5.6369177656831
1.035000000000000,1.1872552733e-5,5.6423928227505
1.036000000000000,1.2133117719e-5,5.6478679174761
