 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/07/2022 11:58:08
File Marker Date: 02/03/2022 17:47:21
PPC_Dim_will_be_squared = 100.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,1.576516695e-14,7.4360641089577
1.001000000000000,5.641052070e-10,7.4435372105090
1.002000000000000,-5.595214514e-9,7.4510103996931
1.003000000000000,-1.171391917e-8,7.4584836764604
1.004000000000000,-1.779220415e-8,7.4659570409084
1.005000000000000,-2.383018982e-8,7.4734304931350
1.006000000000000,-2.982799963e-8,7.4809040332378
1.007000000000000,-3.578568863e-8,7.4883776613145
1.008000000000000,-4.170333034e-8,7.4958513774628
1.009000000000000,-4.758114769e-8,7.5033251817805
1.010000000000000,-5.341923104e-8,7.5107990743652
1.011000000000000,-5.921767743e-8,7.5182730553147
1.012000000000000,-6.497652616e-8,7.5257471247267
1.013000000000000,-7.069596930e-8,7.5332212826989
1.014000000000000,-7.637608745e-8,7.5406955293290
1.015000000000000,-8.201703094e-8,7.5481698647148
1.016000000000000,-8.761884374e-8,7.5556442889539
1.017000000000000,-9.318176319e-8,7.5631188021441
1.018000000000000,-9.870569961e-8,7.5705934043832
1.019000000000000,-1.041909625e-7,7.5780680957689
1.020000000000000,-1.096375657e-7,7.5855428763988
1.021000000000000,-1.150455549e-7,7.5930177463708
1.022000000000000,-1.204152140e-7,7.6004927057826
1.023000000000000,-1.257464544e-7,7.6079677547319
1.024000000000000,-1.310395621e-7,7.6154428933164
1.025000000000000,-1.362945476e-7,7.6229181216340
1.026000000000000,-1.415115407e-7,7.6303934397824
1.027000000000000,-1.466906145e-7,7.6378688478592
1.028000000000000,-1.518319304e-7,7.6453443459624
1.029000000000000,-1.569356249e-7,7.6528199341896
1.030000000000000,-1.620017078e-7,7.6602956126386
1.031000000000000,-1.670304237e-7,7.6677713814071
1.032000000000000,-1.720217275e-7,7.6752472405930
1.033000000000000,-1.769758751e-7,7.6827231902939
1.034000000000000,-1.818928648e-7,7.6901992306077
1.035000000000000,-1.867729063e-7,7.6976753616322
1.036000000000000,-1.916159529e-7,7.7051515834651
1.037000000000000,-1.964222411e-7,7.7126278962041
1.038000000000000,-2.011918094e-7,7.7201042999471
1.039000000000000,-2.059248623e-7,7.7275807947919
1.040000000000000,-2.106213943e-7,7.7350573808362
1.041000000000000,-2.152816072e-7,7.7425340581778
1.042000000000000,-2.199055424e-7,7.7500108269145
1.043000000000000,-2.244933093e-7,7.7574876871442
1.044000000000000,-2.290450440e-7,7.7649646389645
1.045000000000000,-2.335608318e-7,7.7724416824734
1.046000000000000,-2.380408388e-7,7.7799188177685
1.047000000000000,-2.424850576e-7,7.7873960449478
1.048000000000000,-2.468936542e-7,7.7948733641089
1.049000000000000,-2.512668040e-7,7.8023507753498
1.050000000000000,-2.556045444e-7,7.8098282787682
1.051000000000000,-2.599069595e-7,7.8173058744619
1.052000000000000,-2.641742358e-7,7.8247835625288
1.053000000000000,-2.684062894e-7,7.8322613430667
1.054000000000000,-2.726034660e-7,7.8397392161734
1.055000000000000,-2.767657590e-7,7.8472171819467
1.056000000000000,-2.808932966e-7,7.8546952404844
1.057000000000000,-2.849861478e-7,7.8621733918844
1.058000000000000,-2.890444353e-7,7.8696516362446
1.059000000000000,-2.930683114e-7,7.8771299736626
1.060000000000000,-2.970577762e-7,7.8846084042365
1.061000000000000,-3.010130361e-7,7.8920869280640
1.062000000000000,-3.049341757e-7,7.8995655452429
1.063000000000000,-3.088212119e-7,7.9070442558712
1.064000000000000,-3.126743431e-7,7.9145230600466
1.065000000000000,-3.164936704e-7,7.9220019578670
1.066000000000000,-3.202792633e-7,7.9294809494302
1.067000000000000,-3.240311479e-7,7.9369600348342
1.068000000000000,-3.277495906e-7,7.9444392141768
1.069000000000000,-3.314346690e-7,7.9519184875558
1.070000000000000,-3.350863436e-7,7.9593978550690
1.071000000000000,-3.387048906e-7,7.9668773168145
1.072000000000000,-3.422903239e-7,7.9743568728900
1.073000000000000,-3.458427071e-7,7.9818365233934
1.074000000000000,-3.493622367e-7,7.9893162684225
1.075000000000000,-3.528488834e-7,7.9967961080754
1.076000000000000,-3.563029221e-7,8.0042760424497
1.077000000000000,-3.597243330e-7,8.0117560716435
1.078000000000000,-3.631133161e-7,8.0192361957546
1.079000000000000,-3.664698747e-7,8.0267164148809
1.080000000000000,-3.697940989e-7,8.0341967291203
1.081000000000000,-3.730862250e-7,8.0416771385707
1.082000000000000,-3.763462320e-7,8.0491576433299
1.083000000000000,-3.795742005e-7,8.0566382434959
1.084000000000000,-3.827703583e-7,8.0641189391666
1.085000000000000,-3.859347044e-7,8.0715997304399
1.086000000000000,-3.890673936e-7,8.0790806174137
1.087000000000000,-3.921684824e-7,8.0865616001859
1.088000000000000,-3.952381207e-7,8.0940426788544
1.089000000000000,-3.982764805e-7,8.1015238535171
1.090000000000000,-4.012834285e-7,8.1090051242720
1.091000000000000,-4.042592192e-7,8.1164864912170
1.092000000000000,-4.072039450e-7,8.1239679544499
1.093000000000000,-4.101176907e-7,8.1314495140688
1.094000000000000,-4.130006346e-7,8.1389311701715
1.095000000000000,-4.158527713e-7,8.1464129228561
1.096000000000000,-4.186741935e-7,8.1538947722203
1.097000000000000,-4.214650560e-7,8.1613767183623
1.098000000000000,-4.242255038e-7,8.1688587613798
1.099000000000000,-4.269554876e-7,8.1763409013709
1.100000000000000,-4.296552252e-7,8.1838231384335
1.101000000000000,-4.323248068e-7,8.1913054726655
1.102000000000000,-4.349642981e-7,8.1987879041650
1.103000000000000,-4.375737823e-7,8.2062704330298
1.104000000000000,-4.401534073e-7,8.2137530593579
1.105000000000000,-4.427032971e-7,8.2212357832473
1.106000000000000,-4.452234286e-7,8.2287186047960
1.107000000000000,-4.477139677e-7,8.2362015241019
1.108000000000000,-4.501750852e-7,8.2436845412630
1.109000000000000,-4.526067459e-7,8.2511676563772
1.110000000000000,-4.550091761e-7,8.2586508695426
1.111000000000000,-4.573823498e-7,8.2661341808570
1.112000000000000,-4.597264678e-7,8.2736175904186
1.113000000000000,-4.620416227e-7,8.2811010983253
1.114000000000000,-4.643277600e-7,8.2885847046751
1.115000000000000,-4.665851763e-7,8.2960684095659
1.116000000000000,-4.688138655e-7,8.3035522130957
1.117000000000000,-4.710139059e-7,8.3110361153627
1.118000000000000,-4.731854539e-7,8.3185201164647
1.119000000000000,-4.753286162e-7,8.3260042164997
1.120000000000000,-4.774433766e-7,8.3334884155659
1.121000000000000,-4.795299715e-7,8.3409727137611
1.122000000000000,-4.815883883e-7,8.3484571111834
1.123000000000000,-4.836188152e-7,8.3559416079308
1.124000000000000,-4.856212747e-7,8.3634262041013
1.125000000000000,-4.875959274e-7,8.3709108997930
1.126000000000000,-4.895427967e-7,8.3783956951038
1.127000000000000,-4.914619511e-7,8.3858805901319
1.128000000000000,-4.933536586e-7,8.3933655849752
1.129000000000000,-4.952178934e-7,8.4008506797317
1.130000000000000,-4.970547045e-7,8.4083358744995
1.131000000000000,-4.988642488e-7,8.4158211693767
1.132000000000000,-5.006465791e-7,8.4233065644613
1.133000000000000,-5.024019332e-7,8.4307920598513
1.134000000000000,-5.041302127e-7,8.4382776556448
1.135000000000000,-5.058315924e-7,8.4457633519398
1.136000000000000,-5.075062302e-7,8.4532491488344
1.137000000000000,-5.091541226e-7,8.4607350464266
1.138000000000000,-5.107753587e-7,8.4682210448146
1.139000000000000,-5.123701405e-7,8.4757071440963
1.140000000000000,-5.139384647e-7,8.4831933443699
1.141000000000000,-5.154804483e-7,8.4906796457334
1.142000000000000,-5.169962216e-7,8.4981660482848
1.143000000000000,-5.184858520e-7,8.5056525521223
1.144000000000000,-5.199494264e-7,8.5131391573440
1.145000000000000,-5.213869265e-7,8.5206258640479
1.146000000000000,-5.227986903e-7,8.5281126723320
1.147000000000000,-5.241845753e-7,8.5355995822946
1.148000000000000,-5.255448510e-7,8.5430865940337
1.149000000000000,-5.268795509e-7,8.5505737076474
1.150000000000000,-5.281886597e-7,8.5580609232338
1.151000000000000,-5.294724506e-7,8.5655482408909
1.152000000000000,-5.307308639e-7,8.5730356607170
1.153000000000000,-5.319640850e-7,8.5805231828100
1.154000000000000,-5.331721622e-7,8.5880108072682
1.155000000000000,-5.343552196e-7,8.5954985341896
1.156000000000000,-5.355132939e-7,8.6029863636723
1.157000000000000,-5.366464768e-7,8.6104742958146
1.158000000000000,-5.377549730e-7,8.6179623307144
1.159000000000000,-5.388387361e-7,8.6254504684699
1.160000000000000,-5.398979395e-7,8.6329387091793
1.161000000000000,-5.409326489e-7,8.6404270529407
1.162000000000000,-5.419429052e-7,8.6479154998523
1.163000000000000,-5.429289642e-7,8.6554040500120
1.164000000000000,-5.438906776e-7,8.6628927035182
1.165000000000000,-5.448283051e-7,8.6703814604690
1.166000000000000,-5.457418673e-7,8.6778703209625
1.167000000000000,-5.466315416e-7,8.6853592850968
1.168000000000000,-5.474973030e-7,8.6928483529702
1.169000000000000,-5.483392465e-7,8.7003375246807
1.170000000000000,-5.491574664e-7,8.7078268003266
1.171000000000000,-5.499522062e-7,8.7153161800060
1.172000000000000,-5.507234027e-7,8.7228056638171
1.173000000000000,-5.514711272e-7,8.7302952518581
1.174000000000000,-5.521955797e-7,8.7377849442270
1.175000000000000,-5.528968032e-7,8.7452747410222
1.176000000000000,-5.535747960e-7,8.7527646423418
1.177000000000000,-5.542298356e-7,8.7602546482840
1.178000000000000,-5.548618303e-7,8.7677447589470
1.179000000000000,-5.554709159e-7,8.7752349744289
1.180000000000000,-5.560571867e-7,8.7827252948280
1.181000000000000,-5.566208057e-7,8.7902157202425
1.182000000000000,-5.571617767e-7,8.7977062507705
1.183000000000000,-5.576801954e-7,8.8051968865103
1.184000000000000,-5.581762004e-7,8.8126876275602
1.185000000000000,-5.586498322e-7,8.8201784740182
1.186000000000000,-5.591012000e-7,8.8276694259826
1.187000000000000,-5.595302790e-7,8.8351604835517
1.188000000000000,-5.599374009e-7,8.8426516468236
1.189000000000000,-5.603223945e-7,8.8501429158966
1.190000000000000,-5.606855507e-7,8.8576342908690
1.191000000000000,-5.610268077e-7,8.8651257718389
1.192000000000000,-5.613463530e-7,8.8726173589046
1.193000000000000,-5.616441310e-7,8.8801090521643
1.194000000000000,-5.619204588e-7,8.8876008517163
1.195000000000000,-5.621751831e-7,8.8950927576589
1.196000000000000,-5.624085324e-7,8.9025847700902
1.197000000000000,-5.626206352e-7,8.9100768891085
1.198000000000000,-5.628113615e-7,8.9175691148122
1.199000000000000,-5.629810125e-7,8.9250614472994
1.200000000000000,-5.631295332e-7,8.9325538866684
1.201000000000000,-5.632571336e-7,8.9400464330175
1.202000000000000,-5.633638749e-7,8.9475390864450
1.203000000000000,-5.634496942e-7,8.9550318470491
1.204000000000000,-5.635148497e-7,8.9625247149282
1.205000000000000,-5.635593334e-7,8.9700176901804
1.206000000000000,-5.635832547e-7,8.9775107729041
1.207000000000000,-5.635867470e-7,8.9850039631976
1.208000000000000,-5.635698042e-7,8.9924972611591
1.209000000000000,-5.635325158e-7,8.9999906668870
1.210000000000000,-5.634750728e-7,9.0074841804796
1.211000000000000,-5.633975180e-7,9.0149778020351
1.212000000000000,-5.632998643e-7,9.0224715316520
1.213000000000000,-5.631821458e-7,9.0299653694284
1.214000000000000,-5.630446509e-7,9.0374593154627
1.215000000000000,-5.628873352e-7,9.0449533698532
1.216000000000000,-5.627102748e-7,9.0524475326982
1.217000000000000,-5.625135502e-7,9.0599418040961
1.218000000000000,-5.622972836e-7,9.0674361841453
1.219000000000000,-5.620615964e-7,9.0749306729439
1.220000000000000,-5.618064911e-7,9.0824252705904
1.221000000000000,-5.615320391e-7,9.0899199771831
1.222000000000000,-5.612383811e-7,9.0974147928203
1.223000000000000,-5.609255773e-7,9.1049097176005
1.224000000000000,-5.605936348e-7,9.1124047516218
1.225000000000000,-5.602428621e-7,9.1198998949828
1.226000000000000,-5.598730781e-7,9.1273951477817
1.227000000000000,-5.594845451e-7,9.1348905101169
1.228000000000000,-5.590772150e-7,9.1423859820868
1.229000000000000,-5.586513321e-7,9.1498815637897
1.230000000000000,-5.582067768e-7,9.1573772553241
1.231000000000000,-5.577437432e-7,9.1648730567882
1.232000000000000,-5.572623356e-7,9.1723689682805
1.233000000000000,-5.567625414e-7,9.1798649898994
1.234000000000000,-5.562444945e-7,9.1873611217432
1.235000000000000,-5.557083171e-7,9.1948573639103
1.236000000000000,-5.551540174e-7,9.2023537164992
1.237000000000000,-5.545817430e-7,9.2098501796082
