 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/04/2021 11:46:53
File Marker Date: 11/04/2021 11:03:34
W = 60.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-1.77635684e-13,-147.1838029970
1.001000000000000,-1.98909333e-10,-147.0367089701
1.002000000000000,-3.94102528e-10,-146.8899084869
1.003000000000000,-5.88023852e-10,-146.7434006692
1.004000000000000,-7.80779885e-10,-146.5971846426
1.005000000000000,-9.72320890e-10,-146.4512595362
1.006000000000000,-1.162632657e-9,-146.3056244822
1.007000000000000,-1.351700973e-9,-146.1602786167
1.008000000000000,-1.539625316e-9,-146.0152210790
1.009000000000000,-1.726284893e-9,-145.8704510117
1.010000000000000,-1.911764969e-9,-145.7259675610
1.011000000000000,-2.096101070e-9,-145.5817698765
1.012000000000000,-2.279250566e-9,-145.4378571109
1.013000000000000,-2.461220561e-9,-145.2942284205
1.014000000000000,-2.642039476e-9,-145.1508829649
1.015000000000000,-2.821714418e-9,-145.0078199068
1.016000000000000,-3.000202753e-9,-144.8650384125
1.017000000000000,-3.177568431e-9,-144.7225376513
1.018000000000000,-3.353818556e-9,-144.5803167960
1.019000000000000,-3.528853654e-9,-144.4383750225
1.020000000000000,-3.702858464e-9,-144.2967115100
1.021000000000000,-3.875676668e-9,-144.1553254408
1.022000000000000,-4.047414848e-9,-144.0142160005
1.023000000000000,-4.218016159e-9,-143.8733823780
1.024000000000000,-4.387530339e-9,-143.7328237651
1.025000000000000,-4.555971600e-9,-143.5925393570
1.026000000000000,-4.723304414e-9,-143.4525283519
1.027000000000000,-4.889514571e-9,-143.3127899511
1.028000000000000,-5.054687335e-9,-143.1733233591
1.029000000000000,-5.218758758e-9,-143.0341277834
1.030000000000000,-5.381771473e-9,-142.8952024347
1.031000000000000,-5.543789428e-9,-142.7565465268
1.032000000000000,-5.704670514e-9,-142.6181592762
1.033000000000000,-5.864556840e-9,-142.4800399028
1.034000000000000,-6.023334720e-9,-142.3421876294
1.035000000000000,-6.181117840e-9,-142.2046016818
1.036000000000000,-6.337842251e-9,-142.0672812888
1.037000000000000,-6.493600324e-9,-141.9302256821
1.038000000000000,-6.648257056e-9,-141.7934340965
1.039000000000000,-6.801911923e-9,-141.6569057696
1.040000000000000,-6.954593346e-9,-141.5206399420
1.041000000000000,-7.106272903e-9,-141.3846358573
1.042000000000000,-7.256922174e-9,-141.2488927618
1.043000000000000,-7.406612212e-9,-141.1134099049
1.044000000000000,-7.555257753e-9,-140.9781865388
1.045000000000000,-7.702922744e-9,-140.8432219185
1.046000000000000,-7.849664030e-9,-140.7085153019
1.047000000000000,-7.995375029e-9,-140.5740659498
1.048000000000000,-8.140126795e-9,-140.4398731256
1.049000000000000,-8.283933539e-9,-140.3059360959
1.050000000000000,-8.426802367e-9,-140.1722541296
1.051000000000000,-8.568704857e-9,-140.0388264989
1.052000000000000,-8.709612587e-9,-139.9056524783
1.053000000000000,-8.849632138e-9,-139.7727313453
1.054000000000000,-8.988649824e-9,-139.6400623802
1.055000000000000,-9.126821965e-9,-139.5076448659
1.056000000000000,-9.263999345e-9,-139.3754780880
1.057000000000000,-9.400331180e-9,-139.2435613350
1.058000000000000,-9.535661150e-9,-139.1118938977
1.059000000000000,-9.670102941e-9,-138.9804750700
1.060000000000000,-9.803649448e-9,-138.8493041483
1.061000000000000,-9.936272249e-9,-138.7183804315
1.062000000000000,-1.006802108e-8,-138.5877032214
1.063000000000000,-1.019887463e-8,-138.4572718223
1.064000000000000,-1.032882579e-8,-138.3270855411
1.065000000000000,-1.045790299e-8,-138.1971436873
1.066000000000000,-1.058609200e-8,-138.0674455731
1.067000000000000,-1.071342126e-8,-137.9379905131
1.068000000000000,-1.083985524e-8,-137.8087778246
1.069000000000000,-1.096546498e-8,-137.6798068275
1.070000000000000,-1.109017234e-8,-137.5510768440
1.071000000000000,-1.121401283e-8,-137.4225871991
1.072000000000000,-1.133700778e-8,-137.2943372202
1.073000000000000,-1.145922823e-8,-137.1663262372
1.074000000000000,-1.158051077e-8,-137.0385535825
1.075000000000000,-1.170099750e-8,-136.9110185910
1.076000000000000,-1.182068132e-8,-136.7837206002
1.077000000000000,-1.193946986e-8,-136.6566589497
1.078000000000000,-1.205749811e-8,-136.5298329820
1.079000000000000,-1.217465240e-8,-136.4032420416
1.080000000000000,-1.229101088e-8,-136.2768854759
1.081000000000000,-1.240658776e-8,-136.1507626342
1.082000000000000,-1.252129778e-8,-136.0248728687
1.083000000000000,-1.263525462e-8,-135.8992155336
1.084000000000000,-1.274840145e-8,-135.7737899857
1.085000000000000,-1.286075957e-8,-135.6485955842
1.086000000000000,-1.297227215e-8,-135.5236316904
1.087000000000000,-1.308305286e-8,-135.3988976682
1.088000000000000,-1.319302356e-8,-135.2743928838
1.089000000000000,-1.330226951e-8,-135.1501167056
1.090000000000000,-1.341068412e-8,-135.0260685046
1.091000000000000,-1.351836687e-8,-134.9022476537
1.092000000000000,-1.362523960e-8,-134.7786535284
1.093000000000000,-1.373138048e-8,-134.6552855064
1.094000000000000,-1.383675396e-8,-134.5321429677
1.095000000000000,-1.394139559e-8,-134.4092252945
1.096000000000000,-1.404525563e-8,-134.2865318713
1.097000000000000,-1.414841933e-8,-134.1640620848
1.098000000000000,-1.425078722e-8,-134.0418153241
1.099000000000000,-1.435243746e-8,-133.9197909802
1.100000000000000,-1.445333453e-8,-133.7979884467
1.101000000000000,-1.455354237e-8,-133.6764071190
1.102000000000000,-1.465299704e-8,-133.5550463951
1.103000000000000,-1.475174827e-8,-133.4339056750
1.104000000000000,-1.484971790e-8,-133.3129843607
1.105000000000000,-1.494709778e-8,-133.1922818566
1.106000000000000,-1.504365343e-8,-133.0717975692
1.107000000000000,-1.513958381e-8,-132.9515309071
1.108000000000000,-1.523474680e-8,-132.8314812812
1.109000000000000,-1.532924898e-8,-132.7116481041
1.110000000000000,-1.542304062e-8,-132.5920307911
1.111000000000000,-1.551613593e-8,-132.4726287591
1.112000000000000,-1.560854201e-8,-132.3534414275
1.113000000000000,-1.570028729e-8,-132.2344682174
1.114000000000000,-1.579129361e-8,-132.1157085522
1.115000000000000,-1.588168175e-8,-131.9971618575
1.116000000000000,-1.597138066e-8,-131.8788275606
1.117000000000000,-1.606039035e-8,-131.7607050912
1.118000000000000,-1.614872502e-8,-131.6427938808
1.119000000000000,-1.623644863e-8,-131.5250933631
1.120000000000000,-1.632346169e-8,-131.4076029737
1.121000000000000,-1.640987080e-8,-131.2903221502
1.122000000000000,-1.649558357e-8,-131.1732503323
1.123000000000000,-1.658064974e-8,-131.0563869617
1.124000000000000,-1.666507643e-8,-130.9397314821
1.125000000000000,-1.674886363e-8,-130.8232833390
1.126000000000000,-1.683199713e-8,-130.7070419800
1.127000000000000,-1.691447693e-8,-130.5910068547
1.128000000000000,-1.699636698e-8,-130.4751774147
1.129000000000000,-1.707764596e-8,-130.3595531132
1.130000000000000,-1.715826414e-8,-130.2441334059
1.131000000000000,-1.723826415e-8,-130.1289177498
1.132000000000000,-1.731761756e-8,-130.0139056044
1.133000000000000,-1.739642386e-8,-129.8990964306
1.134000000000000,-1.747456224e-8,-129.7844896916
1.135000000000000,-1.755208245e-8,-129.6700848523
1.136000000000000,-1.762904844e-8,-129.5558813795
1.137000000000000,-1.770531810e-8,-129.4418787418
1.138000000000000,-1.778109748e-8,-129.3280764099
1.139000000000000,-1.785623738e-8,-129.2144738562
1.140000000000000,-1.793076621e-8,-129.1010705549
1.141000000000000,-1.800471239e-8,-128.9878659821
1.142000000000000,-1.807809014e-8,-128.8748596158
1.143000000000000,-1.815083550e-8,-128.7620509358
1.144000000000000,-1.822306217e-8,-128.6494394236
1.145000000000000,-1.829471330e-8,-128.5370245627
1.146000000000000,-1.836573915e-8,-128.4248058383
1.147000000000000,-1.843621078e-8,-128.3127827373
1.148000000000000,-1.850614950e-8,-128.2009547485
1.149000000000000,-1.857545584e-8,-128.0893213626
1.150000000000000,-1.864423638e-8,-127.9778820718
1.151000000000000,-1.871243427e-8,-127.8666363703
1.152000000000000,-1.878009215e-8,-127.7555837539
1.153000000000000,-1.884718159e-8,-127.6447237202
1.154000000000000,-1.891377366e-8,-127.5340557687
1.155000000000000,-1.897976887e-8,-127.4235794003
1.156000000000000,-1.904521696e-8,-127.3132941179
1.157000000000000,-1.911013214e-8,-127.2031994260
1.158000000000000,-1.917454995e-8,-127.0932948308
1.159000000000000,-1.923839221e-8,-126.9835798404
1.160000000000000,-1.930168025e-8,-126.8740539643
1.161000000000000,-1.936446381e-8,-126.7647167139
1.162000000000000,-1.942670735e-8,-126.6555676022
1.163000000000000,-1.948841799e-8,-126.5466061439
1.164000000000000,-1.954959572e-8,-126.4378318553
1.165000000000000,-1.961031870e-8,-126.3292442545
1.166000000000000,-1.967043772e-8,-126.2208428611
1.167000000000000,-1.973009489e-8,-126.1126271965
1.168000000000000,-1.978924047e-8,-126.0045967835
1.169000000000000,-1.984786735e-8,-125.8967511469
1.170000000000000,-1.990597553e-8,-125.7890898127
1.171000000000000,-1.996357923e-8,-125.6816123090
1.172000000000000,-2.002071398e-8,-125.5743181650
1.173000000000000,-2.007736555e-8,-125.4672069118
1.174000000000000,-2.013344158e-8,-125.3602780821
1.175000000000000,-2.018907708e-8,-125.2535312101
1.176000000000000,-2.024422940e-8,-125.1469658317
1.177000000000000,-2.029887014e-8,-125.0405814843
1.178000000000000,-2.035306323e-8,-124.9343777067
1.179000000000000,-2.040671632e-8,-124.8283540396
1.180000000000000,-2.045990755e-8,-124.7225100250
1.181000000000000,-2.051262982e-8,-124.6168452067
1.182000000000000,-2.056487602e-8,-124.5113591296
1.183000000000000,-2.061663906e-8,-124.4060513407
1.184000000000000,-2.066794025e-8,-124.3009213882
1.185000000000000,-2.071879379e-8,-124.1959688217
1.186000000000000,-2.076913574e-8,-124.0911931928
1.187000000000000,-2.081906558e-8,-123.9865940540
1.188000000000000,-2.086854067e-8,-123.8821709598
1.189000000000000,-2.091748286e-8,-123.7779234660
1.190000000000000,-2.096604135e-8,-123.6738511299
1.191000000000000,-2.101411667e-8,-123.5699535103
1.192000000000000,-2.106173014e-8,-123.4662301675
1.193000000000000,-2.110893860e-8,-123.3626806631
1.194000000000000,-2.115566389e-8,-123.2593045605
1.195000000000000,-2.120195575e-8,-123.1561014244
1.196000000000000,-2.124780707e-8,-123.0530708207
1.197000000000000,-2.129320364e-8,-122.9502123173
1.198000000000000,-2.133816679e-8,-122.8475254830
1.199000000000000,-2.138268940e-8,-122.7450098883
1.200000000000000,-2.142684252e-8,-122.6426651052
1.201000000000000,-2.147046985e-8,-122.5404907070
1.202000000000000,-2.151372769e-8,-122.4384862684
1.203000000000000,-2.155655920e-8,-122.3366513655
1.204000000000000,-2.159895018e-8,-122.2349855760
1.205000000000000,-2.164096458e-8,-122.1334884789
1.206000000000000,-2.168248159e-8,-122.0321596544
1.207000000000000,-2.172365754e-8,-121.9309986844
1.208000000000000,-2.176437874e-8,-121.8300051519
1.209000000000000,-2.180469494e-8,-121.7291786416
1.210000000000000,-2.184459191e-8,-121.6285187393
1.211000000000000,-2.188412651e-8,-121.5280250322
1.212000000000000,-2.192320636e-8,-121.4276971091
1.213000000000000,-2.196188120e-8,-121.3275345598
1.214000000000000,-2.200018656e-8,-121.2275369757
1.215000000000000,-2.203805849e-8,-121.1277039495
1.216000000000000,-2.207558936e-8,-121.0280350753
1.217000000000000,-2.211267258e-8,-120.9285299483
1.218000000000000,-2.214937211e-8,-120.8291881652
1.219000000000000,-2.218569506e-8,-120.7300093241
1.220000000000000,-2.222160589e-8,-120.6309930242
1.221000000000000,-2.225714724e-8,-120.5321388663
1.222000000000000,-2.229230489e-8,-120.4334464522
1.223000000000000,-2.232707885e-8,-120.3349153852
1.224000000000000,-2.236147623e-8,-120.2365452698
1.225000000000000,-2.239550412e-8,-120.1383357119
1.226000000000000,-2.242911279e-8,-120.0402863186
1.227000000000000,-2.246238751e-8,-119.9423966983
1.228000000000000,-2.249529985e-8,-119.8446664607
1.229000000000000,-2.252780007e-8,-119.7470952166
1.230000000000000,-2.255995923e-8,-119.6496825784
1.231000000000000,-2.259174892e-8,-119.5524281595
1.232000000000000,-2.262314069e-8,-119.4553315745
1.233000000000000,-2.265421983e-8,-119.3583924396
1.234000000000000,-2.268492238e-8,-119.2616103719
1.235000000000000,-2.271524124e-8,-119.1649849899
1.236000000000000,-2.274524746e-8,-119.0685159132
1.237000000000000,-2.277487710e-8,-118.9722027628
1.238000000000000,-2.280414435e-8,-118.8760451608
1.239000000000000,-2.283307765e-8,-118.7800427307
1.240000000000000,-2.286166989e-8,-118.6841950970
1.241000000000000,-2.288986423e-8,-118.5885018854
1.242000000000000,-2.291776013e-8,-118.4929627231
1.243000000000000,-2.294527945e-8,-118.3975772381
1.244000000000000,-2.297247903e-8,-118.3023450599
1.245000000000000,-2.299931623e-8,-118.2072658191
1.246000000000000,-2.302586211e-8,-118.1123391474
1.247000000000000,-2.305204561e-8,-118.0175646779
1.248000000000000,-2.307787383e-8,-117.9229420445
1.249000000000000,-2.310337521e-8,-117.8284708827
1.250000000000000,-2.312857106e-8,-117.7341508289
1.251000000000000,-2.315340453e-8,-117.6399815207
1.252000000000000,-2.317791825e-8,-117.5459625969
1.253000000000000,-2.320216907e-8,-117.4520936975
1.254000000000000,-2.322600778e-8,-117.3583744635
1.255000000000000,-2.324957649e-8,-117.2648045372
1.256000000000000,-2.327279702e-8,-117.1713835619
