 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/04/2021 11:47:29
File Marker Date: 11/04/2021 11:03:34
W = 75.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-1.20792265e-13,-118.0213661692
1.001000000000000,-2.00294892e-10,-117.9034049400
1.002000000000000,-3.99928979e-10,-117.7856791046
1.003000000000000,-5.98234351e-10,-117.6681879590
1.004000000000000,-7.95303379e-10,-117.5509308018
1.005000000000000,-9.91086324e-10,-117.4339069346
1.006000000000000,-1.185718190e-9,-117.3171156617
1.007000000000000,-1.379035552e-9,-117.2005562902
1.008000000000000,-1.571173414e-9,-117.0842281298
1.009000000000000,-1.762096247e-9,-116.9681304932
1.010000000000000,-1.951761419e-9,-116.8522626956
1.011000000000000,-2.140261302e-9,-116.7366240550
1.012000000000000,-2.327510629e-9,-116.6212138921
1.013000000000000,-2.513601771e-9,-116.5060315303
1.014000000000000,-2.698499202e-9,-116.3910762955
1.015000000000000,-2.882195815e-9,-116.2763475165
1.016000000000000,-3.064727139e-9,-116.1618445246
1.017000000000000,-3.246121594e-9,-116.0475666537
1.018000000000000,-3.426329442e-9,-115.9335132405
1.019000000000000,-3.605379106e-9,-115.8196836241
1.020000000000000,-3.783299007e-9,-115.7060771463
1.021000000000000,-3.960032302e-9,-115.5926931514
1.022000000000000,-4.135642939e-9,-115.4795309864
1.023000000000000,-4.310109603e-9,-115.3665900008
1.024000000000000,-4.483467819e-9,-115.2538695465
1.025000000000000,-4.655738906e-9,-115.1413689781
1.026000000000000,-4.826837596e-9,-115.0290876526
1.027000000000000,-4.996849157e-9,-114.9170249297
1.028000000000000,-5.165773587e-9,-114.8051801713
1.029000000000000,-5.333617992e-9,-114.6935527421
1.030000000000000,-5.500318423e-9,-114.5821420090
1.031000000000000,-5.665995673e-9,-114.4709473414
1.032000000000000,-5.830550265e-9,-114.3599681113
1.033000000000000,-5.994031937e-9,-114.2492036930
1.034000000000000,-6.156476218e-9,-114.1386534633
1.035000000000000,-6.317819157e-9,-114.0283168013
1.036000000000000,-6.478160230e-9,-113.9181930886
1.037000000000000,-6.637407068e-9,-113.8082817091
1.038000000000000,-6.795630725e-9,-113.6985820492
1.039000000000000,-6.952831200e-9,-113.5890934975
1.040000000000000,-7.108965860e-9,-113.4798154451
1.041000000000000,-7.264112867e-9,-113.3707472853
1.042000000000000,-7.418179848e-9,-113.2618884139
1.043000000000000,-7.571287597e-9,-113.1532382289
1.044000000000000,-7.723336637e-9,-113.0447961305
1.045000000000000,-7.874412233e-9,-112.9365615215
1.046000000000000,-8.024471754e-9,-112.8285338066
1.047000000000000,-8.173557831e-9,-112.7207123932
1.048000000000000,-8.321634937e-9,-112.6130966907
1.049000000000000,-8.468752810e-9,-112.5056861106
1.050000000000000,-8.614875924e-9,-112.3984800671
1.051000000000000,-8.760018488e-9,-112.2914779762
1.052000000000000,-8.904180504e-9,-112.1846792563
1.053000000000000,-9.047390392e-9,-112.0780833280
1.054000000000000,-9.189662364e-9,-111.9716896142
1.055000000000000,-9.330967998e-9,-111.8654975397
1.056000000000000,-9.471314399e-9,-111.7595065318
1.057000000000000,-9.610751306e-9,-111.6537160199
1.058000000000000,-9.749214769e-9,-111.5481254352
1.059000000000000,-9.886790053e-9,-111.4427342116
1.060000000000000,-1.002339900e-8,-111.3375417848
1.061000000000000,-1.015909135e-8,-111.2325475927
1.062000000000000,-1.029388841e-8,-111.1277510752
1.063000000000000,-1.042771913e-8,-111.0231516746
1.064000000000000,-1.056069010e-8,-110.9187488350
1.065000000000000,-1.069275868e-8,-110.8145420028
1.066000000000000,-1.082393197e-8,-110.7105306263
1.067000000000000,-1.095416735e-8,-110.6067141559
1.068000000000000,-1.108352166e-8,-110.5030920443
1.069000000000000,-1.121204463e-8,-110.3996637459
1.070000000000000,-1.133965100e-8,-110.2964287174
1.071000000000000,-1.146641893e-8,-110.1933864173
1.072000000000000,-1.159226315e-8,-110.0905363064
1.073000000000000,-1.171724762e-8,-109.9878778472
1.074000000000000,-1.184138654e-8,-109.8854105045
1.075000000000000,-1.196467281e-8,-109.7831337449
1.076000000000000,-1.208712774e-8,-109.6810470370
1.077000000000000,-1.220872292e-8,-109.5791498515
1.078000000000000,-1.232942282e-8,-109.4774416609
1.079000000000000,-1.244934111e-8,-109.3759219397
1.080000000000000,-1.256842097e-8,-109.2745901644
1.081000000000000,-1.268665528e-8,-109.1734458135
1.082000000000000,-1.280409379e-8,-109.0724883672
1.083000000000000,-1.292069385e-8,-108.9717173079
1.084000000000000,-1.303647679e-8,-108.8711321196
1.085000000000000,-1.315144260e-8,-108.7707322885
1.086000000000000,-1.326558419e-8,-108.6705173025
1.087000000000000,-1.337895839e-8,-108.5704866515
1.088000000000000,-1.349152257e-8,-108.4706398272
1.089000000000000,-1.360330515e-8,-108.3709763232
1.090000000000000,-1.371429192e-8,-108.2714956349
1.091000000000000,-1.382446158e-8,-108.1721972597
1.092000000000000,-1.393384963e-8,-108.0730806967
1.093000000000000,-1.404250582e-8,-107.9741454467
1.094000000000000,-1.415037332e-8,-107.8753910128
1.095000000000000,-1.425745211e-8,-107.7768168994
1.096000000000000,-1.436374930e-8,-107.6784226130
1.097000000000000,-1.446931464e-8,-107.5802076618
1.098000000000000,-1.457414101e-8,-107.4821715558
1.099000000000000,-1.467818578e-8,-107.3843138068
1.100000000000000,-1.478148448e-8,-107.2866339284
1.101000000000000,-1.488403001e-8,-107.1891314359
1.102000000000000,-1.498583657e-8,-107.0918058465
1.103000000000000,-1.508691128e-8,-106.9946566789
1.104000000000000,-1.518725412e-8,-106.8976834538
1.105000000000000,-1.528685800e-8,-106.8008856935
1.106000000000000,-1.538575134e-8,-106.7042629221
1.107000000000000,-1.548392703e-8,-106.6078146653
1.108000000000000,-1.558135665e-8,-106.5115404505
1.109000000000000,-1.567808283e-8,-106.4154398071
1.110000000000000,-1.577412689e-8,-106.3195122659
1.111000000000000,-1.586943910e-8,-106.2237573595
1.112000000000000,-1.596400523e-8,-106.1281746221
1.113000000000000,-1.605793898e-8,-106.0327635896
1.114000000000000,-1.615117640e-8,-105.9375237998
1.115000000000000,-1.624369617e-8,-105.8424547917
1.116000000000000,-1.633553381e-8,-105.7475561064
1.117000000000000,-1.642666803e-8,-105.6528272863
1.118000000000000,-1.651714854e-8,-105.5582678758
1.119000000000000,-1.660691851e-8,-105.4638774205
1.120000000000000,-1.669604188e-8,-105.3696554679
1.121000000000000,-1.678449735e-8,-105.2756015672
1.122000000000000,-1.687227069e-8,-105.1817152689
1.123000000000000,-1.695939744e-8,-105.0879961253
1.124000000000000,-1.704583497e-8,-104.9944436903
1.125000000000000,-1.713164721e-8,-104.9010575193
1.126000000000000,-1.721677734e-8,-104.8078371693
1.127000000000000,-1.730128218e-8,-104.7147821990
1.128000000000000,-1.738511912e-8,-104.6218921685
1.129000000000000,-1.746834499e-8,-104.5291666395
1.130000000000000,-1.755090295e-8,-104.4366051753
1.131000000000000,-1.763281432e-8,-104.3442073406
1.132000000000000,-1.771415015e-8,-104.2519727020
1.133000000000000,-1.779480385e-8,-104.1599008272
1.134000000000000,-1.787483228e-8,-104.0679912856
1.135000000000000,-1.795425675e-8,-103.9762436482
1.136000000000000,-1.803308436e-8,-103.8846574874
1.137000000000000,-1.811125117e-8,-103.7932323772
1.138000000000000,-1.818882822e-8,-103.7019678929
1.139000000000000,-1.826576579e-8,-103.6108636116
1.140000000000000,-1.834214913e-8,-103.5199191116
1.141000000000000,-1.841792141e-8,-103.4291339728
1.142000000000000,-1.849306130e-8,-103.3385077766
1.143000000000000,-1.856762566e-8,-103.2480401058
1.144000000000000,-1.864157895e-8,-103.1577305447
1.145000000000000,-1.871494248e-8,-103.0675786791
1.146000000000000,-1.878774469e-8,-102.9775840961
1.147000000000000,-1.885993584e-8,-102.8877463843
1.148000000000000,-1.893157275e-8,-102.7980651338
1.149000000000000,-1.900259150e-8,-102.7085399361
1.150000000000000,-1.907307734e-8,-102.6191703841
1.151000000000000,-1.914295211e-8,-102.5299560721
1.152000000000000,-1.921226556e-8,-102.4408965959
1.153000000000000,-1.928104609e-8,-102.3519915525
1.154000000000000,-1.934925109e-8,-102.2632405406
1.155000000000000,-1.941687344e-8,-102.1746431600
1.156000000000000,-1.948395578e-8,-102.0861990120
1.157000000000000,-1.955046969e-8,-101.9979076993
1.158000000000000,-1.961645069e-8,-101.9097688260
1.159000000000000,-1.968187746e-8,-101.8217819974
1.160000000000000,-1.974675001e-8,-101.7339468204
1.161000000000000,-1.981108966e-8,-101.6462629031
1.162000000000000,-1.987489640e-8,-101.5587298550
1.163000000000000,-1.993814891e-8,-101.4713472869
1.164000000000000,-2.000086852e-8,-101.3841148110
1.165000000000000,-2.006308364e-8,-101.2970320408
1.166000000000000,-2.012473033e-8,-101.2100985910
1.167000000000000,-2.018587253e-8,-101.1233140779
1.168000000000000,-2.024646761e-8,-101.0366781189
1.169000000000000,-2.030661506e-8,-100.9501903327
1.170000000000000,-2.036617275e-8,-100.8638503395
1.171000000000000,-2.042521885e-8,-100.7776577606
1.172000000000000,-2.048377468e-8,-100.6916122186
1.173000000000000,-2.054183312e-8,-100.6057133376
1.174000000000000,-2.059935156e-8,-100.5199607426
1.175000000000000,-2.065640814e-8,-100.4343540603
1.176000000000000,-2.071291760e-8,-100.3488929184
1.177000000000000,-2.076894390e-8,-100.2635769460
1.178000000000000,-2.082449413e-8,-100.1784057733
1.179000000000000,-2.087951856e-8,-100.0933790319
1.180000000000000,-2.093409535e-8,-100.0084963546
1.181000000000000,-2.098813212e-8,-99.92375737550
1.182000000000000,-2.104172836e-8,-99.83916172979
1.183000000000000,-2.109481301e-8,-99.75470905403
1.184000000000000,-2.114743580e-8,-99.67039898597
1.185000000000000,-2.119954701e-8,-99.58623116457
1.186000000000000,-2.125122478e-8,-99.50220523001
1.187000000000000,-2.130244781e-8,-99.41832082370
1.188000000000000,-2.135313082e-8,-99.33457758824
1.189000000000000,-2.140338040e-8,-99.25097516745
1.190000000000000,-2.145314681e-8,-99.16751320631
1.191000000000000,-2.150247980e-8,-99.08419135104
1.192000000000000,-2.155132961e-8,-99.00100924901
1.193000000000000,-2.159973178e-8,-98.91796654880
1.194000000000000,-2.164770052e-8,-98.83506290014
1.195000000000000,-2.169517188e-8,-98.75229795396
1.196000000000000,-2.174221692e-8,-98.66967136234
1.197000000000000,-2.178879299e-8,-98.58718277852
1.198000000000000,-2.183494985e-8,-98.50483185692
1.199000000000000,-2.188067327e-8,-98.42261825308
1.200000000000000,-2.192590642e-8,-98.34054162371
1.201000000000000,-2.197074878e-8,-98.25860162666
1.202000000000000,-2.201510796e-8,-98.17679792093
1.203000000000000,-2.205906924e-8,-98.09513016663
1.204000000000000,-2.210257577e-8,-98.01359802500
1.205000000000000,-2.214569150e-8,-97.93220115844
1.206000000000000,-2.218832407e-8,-97.85093923043
1.207000000000000,-2.223058715e-8,-97.76981190557
1.208000000000000,-2.227240259e-8,-97.68881884961
1.209000000000000,-2.231377039e-8,-97.60795972935
1.210000000000000,-2.235472607e-8,-97.52723421273
1.211000000000000,-2.239526964e-8,-97.44664196877
1.212000000000000,-2.243540820e-8,-97.36618266759
1.213000000000000,-2.247515596e-8,-97.28585598040
1.214000000000000,-2.251446318e-8,-97.20566157948
1.215000000000000,-2.255337961e-8,-97.12559913820
1.216000000000000,-2.259188392e-8,-97.04566833100
1.217000000000000,-2.262997612e-8,-96.96586883340
1.218000000000000,-2.266769172e-8,-96.88620032196
1.219000000000000,-2.270497390e-8,-96.80666247434
1.220000000000000,-2.274188660e-8,-96.72725496923
1.221000000000000,-2.277840139e-8,-96.64797748636
1.222000000000000,-2.281451117e-8,-96.56882970655
1.223000000000000,-2.285024436e-8,-96.48981131163
1.224000000000000,-2.288557965e-8,-96.41092198448
1.225000000000000,-2.292050993e-8,-96.33216140902
1.226000000000000,-2.295507073e-8,-96.25352927020
1.227000000000000,-2.298925494e-8,-96.17502525398
1.228000000000000,-2.302302704e-8,-96.09664904736
1.229000000000000,-2.305647229e-8,-96.01840033837
1.230000000000000,-2.308954805e-8,-95.94027881603
1.231000000000000,-2.312216907e-8,-95.86228417038
1.232000000000000,-2.315447034e-8,-95.78441609246
1.233000000000000,-2.318639503e-8,-95.70667427434
1.234000000000000,-2.321795733e-8,-95.62905840905
1.235000000000000,-2.324915016e-8,-95.55156819064
1.236000000000000,-2.327998061e-8,-95.47420331414
1.237000000000000,-2.331045579e-8,-95.39696347557
1.238000000000000,-2.334056859e-8,-95.31984837193
1.239000000000000,-2.337029059e-8,-95.24285770119
1.240000000000000,-2.339967153e-8,-95.16599116231
1.241000000000000,-2.342873273e-8,-95.08924845521
1.242000000000000,-2.345736760e-8,-95.01262928079
1.243000000000000,-2.348571115e-8,-94.93613334088
1.244000000000000,-2.351370654e-8,-94.85976033832
1.245000000000000,-2.354133954e-8,-94.78350997685
1.246000000000000,-2.356861017e-8,-94.70738196120
1.247000000000000,-2.359556817e-8,-94.63137599703
1.248000000000000,-2.362217089e-8,-94.55549179094
1.249000000000000,-2.364842544e-8,-94.47972905049
1.250000000000000,-2.367432472e-8,-94.40408748416
1.251000000000000,-2.369989716e-8,-94.32856680135
1.252000000000000,-2.372515695e-8,-94.25316671243
1.253000000000000,-2.375008989e-8,-94.17788692864
1.254000000000000,-2.377467467e-8,-94.10272716218
1.255000000000000,-2.379889708e-8,-94.02768712616
1.256000000000000,-2.382284947e-8,-93.95276653460
1.257000000000000,-2.384644660e-8,-93.87796510242
1.258000000000000,-2.386973819e-8,-93.80328254547
1.259000000000000,-2.389266740e-8,-93.72871858047
1.260000000000000,-2.391528398e-8,-93.65427292508
1.261000000000000,-2.393760923e-8,-93.57994529782
1.262000000000000,-2.395960053e-8,-93.50573541812
1.263000000000000,-2.398127918e-8,-93.43164300629
1.264000000000000,-2.400263099e-8,-93.35766778354
