 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/22/2021 11:07:23
File Marker Date: 11/20/2021 13:46:38
Al_ramp = 30.0
A_ppc = 21000.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-1.16973098e-12,-21.28205583944
1.001000000000000,-2.00211403e-10,-21.26076342495
1.002000000000000,-5.00754105e-10,-21.23951347865
1.003000000000000,-7.99252220e-10,-21.21830587350
1.004000000000000,-1.095355806e-9,-21.19714048297
1.005000000000000,-1.388765547e-9,-21.17601718106
1.006000000000000,-1.679169692e-9,-21.15493584225
1.007000000000000,-1.966296459e-9,-21.13389634153
1.008000000000000,-2.249867848e-9,-21.11289855438
1.009000000000000,-2.529616516e-9,-21.09194235678
1.010000000000000,-2.805268018e-9,-21.07102762520
1.011000000000000,-3.076617183e-9,-21.05015423659
1.012000000000000,-3.343398447e-9,-21.02932206840
1.013000000000000,-3.605405752e-9,-21.00853099856
1.014000000000000,-3.862405507e-9,-20.98778090546
1.015000000000000,-4.114221852e-9,-20.96707166801
1.016000000000000,-4.360649619e-9,-20.94640316556
1.017000000000000,-4.601501402e-9,-20.92577527796
1.018000000000000,-4.836587131e-9,-20.90518788551
1.019000000000000,-5.065762920e-9,-20.88464086900
1.020000000000000,-5.288867122e-9,-20.86413410967
1.021000000000000,-5.505731870e-9,-20.84366748924
1.022000000000000,-5.716252360e-9,-20.82324088988
1.023000000000000,-5.920246515e-9,-20.80285419424
1.024000000000000,-6.117628182e-9,-20.78250728540
1.025000000000000,-6.308260581e-9,-20.76220004692
1.026000000000000,-6.492046012e-9,-20.74193236281
1.027000000000000,-6.668854802e-9,-20.72170411752
1.028000000000000,-6.838631883e-9,-20.70151519596
1.029000000000000,-7.001266233e-9,-20.68136548348
1.030000000000000,-7.156693904e-9,-20.66125486589
1.031000000000000,-7.304797656e-9,-20.64118322943
1.032000000000000,-7.445549954e-9,-20.62115046077
1.033000000000000,-7.578874417e-9,-20.60115644705
1.034000000000000,-7.704714200e-9,-20.58120107582
1.035000000000000,-7.823033776e-9,-20.56128423508
1.036000000000000,-7.933767421e-9,-20.54140581325
1.037000000000000,-8.036903587e-9,-20.52156569919
1.038000000000000,-8.132398754e-9,-20.50176378218
1.039000000000000,-8.220200520e-9,-20.48199995194
1.040000000000000,-8.300323984e-9,-20.46227409860
1.041000000000000,-8.372738947e-9,-20.44258611271
1.042000000000000,-8.437432086e-9,-20.42293588526
1.043000000000000,-8.494391857e-9,-20.40332330764
1.044000000000000,-8.543640462e-9,-20.38374827167
1.045000000000000,-8.585173461e-9,-20.36421066956
1.046000000000000,-8.618972203e-9,-20.34471039395
1.047000000000000,-8.645089977e-9,-20.32524733790
1.048000000000000,-8.663497475e-9,-20.30582139486
1.049000000000000,-8.674260421e-9,-20.28643245869
1.050000000000000,-8.677377927e-9,-20.26708042366
1.051000000000000,-8.672873086e-9,-20.24776518444
1.052000000000000,-8.660804518e-9,-20.22848663610
1.053000000000000,-8.641197091e-9,-20.20924467410
1.054000000000000,-8.614063240e-9,-20.19003919432
1.055000000000000,-8.579490895e-9,-20.17087009301
1.056000000000000,-8.537491603e-9,-20.15173726682
1.057000000000000,-8.488121317e-9,-20.13264061280
1.058000000000000,-8.431467080e-9,-20.11358002838
1.059000000000000,-8.367541326e-9,-20.09455541138
1.060000000000000,-8.296431986e-9,-20.07556666001
1.061000000000000,-8.218184355e-9,-20.05661367286
1.062000000000000,-8.132864160e-9,-20.03769634889
1.063000000000000,-8.040545119e-9,-20.01881458747
1.064000000000000,-7.941298286e-9,-19.99996828832
1.065000000000000,-7.835191163e-9,-19.98115735155
1.066000000000000,-7.722316120e-9,-19.96238167764
1.067000000000000,-7.602718455e-9,-19.94364116744
1.068000000000000,-7.476488761e-9,-19.92493572218
1.069000000000000,-7.343714081e-9,-19.90626524346
1.070000000000000,-7.204489449e-9,-19.88762963325
1.071000000000000,-7.058893026e-9,-19.86902879386
1.072000000000000,-6.906996752e-9,-19.85046262799
1.073000000000000,-6.748885895e-9,-19.83193103871
1.074000000000000,-6.584681245e-9,-19.81343392942
1.075000000000000,-6.414471621e-9,-19.79497120391
1.076000000000000,-6.238327188e-9,-19.77654276631
1.077000000000000,-6.056358082e-9,-19.75814852111
1.078000000000000,-5.868658448e-9,-19.73978837316
1.079000000000000,-5.675325987e-9,-19.72146222766
1.080000000000000,-5.476475273e-9,-19.70316999015
1.081000000000000,-5.272180026e-9,-19.68491156653
1.082000000000000,-5.062555708e-9,-19.66668686306
1.083000000000000,-4.847716006e-9,-19.64849578631
1.084000000000000,-4.627756844e-9,-19.63033824324
1.085000000000000,-4.402767928e-9,-19.61221414112
1.086000000000000,-4.172889589e-9,-19.59412338757
1.087000000000000,-3.938184001e-9,-19.57606589056
1.088000000000000,-3.698813700e-9,-19.55804155838
1.089000000000000,-3.454839970e-9,-19.54005029967
1.090000000000000,-3.206401367e-9,-19.52209202341
1.091000000000000,-2.953570721e-9,-19.50416663890
1.092000000000000,-2.696535439e-9,-19.48627405579
1.093000000000000,-2.435325719e-9,-19.46841418403
1.094000000000000,-2.170086333e-9,-19.45058693392
1.095000000000000,-1.900936297e-9,-19.43279221611
1.096000000000000,-1.627975088e-9,-19.41502994152
1.097000000000000,-1.351319945e-9,-19.39730002145
1.098000000000000,-1.071081890e-9,-19.37960236749
1.099000000000000,-7.87367505e-10,-19.36193689157
1.100000000000000,-5.00318897e-10,-19.34430350592
1.101000000000000,-2.10009787e-10,-19.32670212311
1.102000000000000,-2.72759593e-12,-19.30913265604
1.103000000000000,3.798650283e-10,-19.29159501782
1.104000000000000,6.791864848e-10,-19.27408912205
1.105000000000000,9.813305724e-10,-19.25661488253
1.106000000000000,1.2860938980e-9,-19.23917221337
1.107000000000000,1.5934533693e-9,-19.22176102903
1.108000000000000,1.9032571075e-9,-19.20438124426
1.109000000000000,2.2153594514e-9,-19.18703277412
1.110000000000000,2.5297222095e-9,-19.16971553398
1.111000000000000,2.8461561996e-9,-19.15242943951
1.112000000000000,3.1645681631e-9,-19.13517440667
1.113000000000000,3.4848763875e-9,-19.11795035175
1.114000000000000,3.8069289943e-9,-19.10075719133
1.115000000000000,4.1306522647e-9,-19.08359484227
1.116000000000000,4.4559120838e-9,-19.06646322176
1.117000000000000,4.7826080873e-9,-19.04936224727
1.118000000000000,5.1106159304e-9,-19.03229183655
1.119000000000000,5.4398281435e-9,-19.01525190767
1.120000000000000,5.7701337042e-9,-18.99824237899
1.121000000000000,6.1014366892e-9,-18.98126316914
1.122000000000000,6.4336074246e-9,-18.96431419707
1.123000000000000,6.7665659742e-9,-18.94739538198
1.124000000000000,7.1001622359e-9,-18.93050664340
1.125000000000000,7.4343464718e-9,-18.91364790112
1.126000000000000,7.7689437106e-9,-18.89681907521
1.127000000000000,8.1039130961e-9,-18.88002008606
1.128000000000000,8.4391018618e-9,-18.86325085429
1.129000000000000,8.7744345123e-9,-18.84651130084
1.130000000000000,9.1097973609e-9,-18.82980134692
1.131000000000000,9.4450873789e-9,-18.81312091402
1.132000000000000,9.7801926557e-9,-18.79646992390
1.133000000000000,1.0115035920e-8,-18.77984829859
1.134000000000000,1.0449491050e-8,-18.76325596042
1.135000000000000,1.0783470117e-8,-18.74669283198
1.136000000000000,1.1116871868e-8,-18.73015883612
1.137000000000000,1.1449587944e-8,-18.71365389598
1.138000000000000,1.1781533082e-8,-18.69717793496
1.139000000000000,1.2112622017e-8,-18.68073087674
1.140000000000000,1.2442721520e-8,-18.66431264525
1.141000000000000,1.2771776525e-8,-18.64792316471
1.142000000000000,1.3099674234e-8,-18.63156235958
1.143000000000000,1.3426312506e-8,-18.61523015460
1.144000000000000,1.3751638939e-8,-18.59892647477
1.145000000000000,1.4075512311e-8,-18.58265124535
1.146000000000000,1.4397866011e-8,-18.56640439187
1.147000000000000,1.4718616548e-8,-18.55018584010
1.148000000000000,1.5037665335e-8,-18.53399551610
1.149000000000000,1.5354928884e-8,-18.51783334615
1.150000000000000,1.5670307718e-8,-18.50169925681
1.151000000000000,1.5983733448e-8,-18.48559317489
1.152000000000000,1.6295115479e-8,-18.46951502745
1.153000000000000,1.6604373876e-8,-18.45346474182
1.154000000000000,1.6911422485e-8,-18.43744224556
1.155000000000000,1.7216184034e-8,-18.42144746649
1.156000000000000,1.7518571482e-8,-18.40548033269
1.157000000000000,1.7818523546e-8,-18.38954077246
1.158000000000000,1.8115924760e-8,-18.37362871437
1.159000000000000,1.8410728941e-8,-18.35774408725
1.160000000000000,1.8702852600e-8,-18.34188682014
1.161000000000000,1.8992234452e-8,-18.32605684235
1.162000000000000,1.9278774133e-8,-18.31025408342
1.163000000000000,1.9562413023e-8,-18.29447847314
1.164000000000000,1.9843067633e-8,-18.27872994154
1.165000000000000,2.0120686450e-8,-18.26300841890
1.166000000000000,2.0395189537e-8,-18.24731383571
1.167000000000000,2.0666510281e-8,-18.23164612273
1.168000000000000,2.0934590950e-8,-18.21600521094
1.169000000000000,2.1199325850e-8,-18.20039103156
1.170000000000000,2.1460698107e-8,-18.18480351605
1.171000000000000,2.1718608245e-8,-18.16924259609
1.172000000000000,2.1973032283e-8,-18.15370820361
1.173000000000000,2.2223876073e-8,-18.13820027076
1.174000000000000,2.2471080108e-8,-18.12271872993
1.175000000000000,2.2714596426e-8,-18.10726351374
1.176000000000000,2.2954369960e-8,-18.09183455502
1.177000000000000,2.3190317222e-8,-18.07643178687
1.178000000000000,2.3422408901e-8,-18.06105514256
1.179000000000000,2.3650583714e-8,-18.04570455564
1.180000000000000,2.3874780375e-8,-18.03037995985
1.181000000000000,2.4094950923e-8,-18.01508128917
1.182000000000000,2.4311032298e-8,-17.99980847781
1.183000000000000,2.4522977426e-8,-17.98456146017
1.184000000000000,2.4730755221e-8,-17.96934017092
1.185000000000000,2.4934305287e-8,-17.95414454491
1.186000000000000,2.5133569892e-8,-17.93897451723
1.187000000000000,2.5328514397e-8,-17.92383002317
1.188000000000000,2.5519099722e-8,-17.90871099827
1.189000000000000,2.5705245044e-8,-17.89361737826
1.190000000000000,2.5886958355e-8,-17.87854909910
1.191000000000000,2.6064159719e-8,-17.86350609695
1.192000000000000,2.6236826933e-8,-17.84848830819
1.193000000000000,2.6404906706e-8,-17.83349566943
1.194000000000000,2.6568360845e-8,-17.81852811747
1.195000000000000,2.6727171587e-8,-17.80358558934
1.196000000000000,2.6881268766e-8,-17.78866802225
1.197000000000000,2.7030654159e-8,-17.77377535367
1.198000000000000,2.7175260264e-8,-17.75890752122
1.199000000000000,2.7315072870e-8,-17.74406446279
1.200000000000000,2.7450041351e-8,-17.72924611641
1.201000000000000,2.7580168371e-8,-17.71445242038
1.202000000000000,2.7705386429e-8,-17.69968331317
1.203000000000000,2.7825675097e-8,-17.68493873345
1.204000000000000,2.7941012171e-8,-17.67021862011
1.205000000000000,2.8051370116e-8,-17.65552291224
1.206000000000000,2.8156727616e-8,-17.64085154913
1.207000000000000,2.8257048257e-8,-17.62620447027
1.208000000000000,2.8352308945e-8,-17.61158161536
1.209000000000000,2.8442502575e-8,-17.59698292428
1.210000000000000,2.8527552765e-8,-17.58240833712
1.211000000000000,2.8607523461e-8,-17.56785779417
1.212000000000000,2.8682335618e-8,-17.55333123591
1.213000000000000,2.8751963477e-8,-17.53882860303
1.214000000000000,2.8816417696e-8,-17.52434983640
1.215000000000000,2.8875682290e-8,-17.50989487710
1.216000000000000,2.8929719065e-8,-17.49546366638
1.217000000000000,2.8978509370e-8,-17.48105614571
1.218000000000000,2.9022063863e-8,-17.46667225673
1.219000000000000,2.9060342577e-8,-17.45231194129
1.220000000000000,2.9093360610e-8,-17.43797514142
1.221000000000000,2.9121082434e-8,-17.42366179935
1.222000000000000,2.9143505387e-8,-17.40937185747
1.223000000000000,2.9160613479e-8,-17.39510525840
1.224000000000000,2.9172409377e-8,-17.38086194491
1.225000000000000,2.9178877092e-8,-17.36664185999
1.226000000000000,2.9179994421e-8,-17.35244494680
1.227000000000000,2.9175798666e-8,-17.33827114867
1.228000000000000,2.9166236537e-8,-17.32412040914
1.229000000000000,2.9151327574e-8,-17.30999267193
