 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/22/2021 11:02:28
File Marker Date: 11/20/2021 13:46:38
Al_ramp = 30.0
A_ppc = 1000.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-2.45847787e-11,-439.4063819537
1.001000000000000,-1.690175111e-9,-438.9673967456
1.002000000000000,-1.724536958e-9,-438.5292877371
1.003000000000000,-1.759175916e-9,-438.0920523080
1.004000000000000,-1.793090121e-9,-437.6556878481
1.005000000000000,-1.826897744e-9,-437.2201917574
1.006000000000000,-1.860144039e-9,-436.7855614463
1.007000000000000,-1.893468493e-9,-436.3517943356
1.008000000000000,-1.926586890e-9,-435.9188878561
1.009000000000000,-1.959392648e-9,-435.4868394492
1.010000000000000,-1.991452336e-9,-435.0556465660
1.011000000000000,-2.023789136e-9,-434.6253066678
1.012000000000000,-2.055863035e-9,-434.1958172261
1.013000000000000,-2.087737982e-9,-433.7671757223
1.014000000000000,-2.119307396e-9,-433.3393796476
1.015000000000000,-2.150564171e-9,-432.9124265032
1.016000000000000,-2.181742786e-9,-432.4863138002
1.017000000000000,-2.212480865e-9,-432.0610390594
1.018000000000000,-2.243154995e-9,-431.6365998113
1.019000000000000,-2.273182531e-9,-431.2129935963
1.020000000000000,-2.303494284e-9,-430.7902179642
1.021000000000000,-2.333194971e-9,-430.3682704745
1.022000000000000,-2.362988027e-9,-429.9471486963
1.023000000000000,-2.392447129e-9,-429.5268502081
1.024000000000000,-2.421977285e-9,-429.1073725980
1.025000000000000,-2.450903480e-9,-428.6887134633
1.026000000000000,-2.479524142e-9,-428.2708704109
1.027000000000000,-2.507746899e-9,-427.8538410570
1.028000000000000,-2.536111765e-9,-427.4376230268
1.029000000000000,-2.564377155e-9,-427.0222139550
1.030000000000000,-2.592464909e-9,-426.6076114854
1.031000000000000,-2.619799488e-9,-426.1938132711
1.032000000000000,-2.647034592e-9,-425.7808169739
1.033000000000000,-2.674653388e-9,-425.3686202651
1.034000000000000,-2.701952440e-9,-424.9572208247
1.035000000000000,-2.728327786e-9,-424.5466163419
1.036000000000000,-2.755164985e-9,-424.1368045145
1.037000000000000,-2.781419539e-9,-423.7277830496
1.038000000000000,-2.807610144e-9,-423.3195496627
1.039000000000000,-2.833793644e-9,-422.9121020785
1.040000000000000,-2.859209758e-9,-422.5054380301
1.041000000000000,-2.884902983e-9,-422.0995552597
1.042000000000000,-2.910311991e-9,-421.6944515177
1.043000000000000,-2.935450993e-9,-421.2901245634
1.044000000000000,-2.960554468e-9,-420.8865721648
1.045000000000000,-2.985139247e-9,-420.4837920982
1.046000000000000,-3.009752447e-9,-420.0817821485
1.047000000000000,-3.034323015e-9,-419.6805401091
1.048000000000000,-3.057955666e-9,-419.2800637817
1.049000000000000,-3.082121225e-9,-418.8803509765
1.050000000000000,-3.105832036e-9,-418.4813995121
1.051000000000000,-3.129720483e-9,-418.0832072152
1.052000000000000,-3.152720751e-9,-417.6857719209
1.053000000000000,-3.175834706e-9,-417.2890914725
1.054000000000000,-3.199133403e-9,-416.8931637215
1.055000000000000,-3.221764189e-9,-416.4979865275
1.056000000000000,-3.244785773e-9,-416.1035577582
1.057000000000000,-3.266933390e-9,-415.7098752896
1.058000000000000,-3.289102324e-9,-415.3169370053
1.059000000000000,-3.311022567e-9,-414.9247407972
1.060000000000000,-3.333134657e-9,-414.5332845652
1.061000000000000,-3.354692524e-9,-414.1425662169
1.062000000000000,-3.376200652e-9,-413.7525836678
1.063000000000000,-3.397623516e-9,-413.3633348415
1.064000000000000,-3.418612948e-9,-412.9748176691
1.065000000000000,-3.439659224e-9,-412.5870300897
1.066000000000000,-3.460407072e-9,-412.1999700500
1.067000000000000,-3.481019917e-9,-411.8136355044
1.068000000000000,-3.501547496e-9,-411.4280244150
1.069000000000000,-3.521620329e-9,-411.0431347516
1.070000000000000,-3.541948956e-9,-410.6589644914
1.071000000000000,-3.561801520e-9,-410.2755116193
1.072000000000000,-3.581803298e-9,-409.8927741278
1.073000000000000,-3.601250853e-9,-409.5107500166
1.074000000000000,-3.620336031e-9,-409.1294372931
1.075000000000000,-3.639833324e-9,-408.7488339720
1.076000000000000,-3.658833236e-9,-408.3689380755
1.077000000000000,-3.678074734e-9,-407.9897476329
1.078000000000000,-3.696179363e-9,-407.6112606811
1.079000000000000,-3.715051378e-9,-407.2334752641
1.080000000000000,-3.733596543e-9,-406.8563894333
1.081000000000000,-3.751956967e-9,-406.4800012470
1.082000000000000,-3.769855539e-9,-406.1043087710
1.083000000000000,-3.787732794e-9,-405.7293100781
1.084000000000000,-3.805588733e-9,-405.3550032482
1.085000000000000,-3.823437567e-9,-404.9813863685
1.086000000000000,-3.840732177e-9,-404.6084575328
1.087000000000000,-3.857742570e-9,-404.2362148423
1.088000000000000,-3.874880861e-9,-403.8646564051
1.089000000000000,-3.891884148e-9,-403.4937803362
1.090000000000000,-3.908901647e-9,-403.1235847574
1.091000000000000,-3.925755721e-9,-402.7540677976
1.092000000000000,-3.942204785e-9,-402.3852275925
1.093000000000000,-3.958440686e-9,-402.0170622844
1.094000000000000,-3.974832907e-9,-401.6495700228
1.095000000000000,-3.991161179e-9,-401.2827489637
1.096000000000000,-4.006970755e-9,-400.9165972698
1.097000000000000,-4.022695066e-9,-400.5511131105
1.098000000000000,-4.038270163e-9,-400.1862946621
1.099000000000000,-4.053724467e-9,-399.8221401072
1.100000000000000,-4.068866133e-9,-399.4586476353
1.101000000000000,-4.084313332e-9,-399.0958154424
1.102000000000000,-4.099199202e-9,-398.7336417309
1.103000000000000,-4.114269814e-9,-398.3721247098
1.104000000000000,-4.128864362e-9,-398.0112625947
1.105000000000000,-4.143359433e-9,-397.6510536076
1.106000000000000,-4.158245304e-9,-397.2914959769
1.107000000000000,-4.172683532e-9,-396.9325879373
1.108000000000000,-4.186816227e-9,-396.5743277300
1.109000000000000,-4.200764181e-9,-396.2167136026
1.110000000000000,-4.214641081e-9,-395.8597438090
1.111000000000000,-4.228574824e-9,-395.5034166091
1.112000000000000,-4.242245666e-9,-395.1477302695
1.113000000000000,-4.255547026e-9,-394.7926830627
1.114000000000000,-4.269089970e-9,-394.4382732675
1.115000000000000,-4.282242116e-9,-394.0844991690
1.116000000000000,-4.295216627e-9,-393.7313590583
1.117000000000000,-4.308510881e-9,-393.3788512326
1.118000000000000,-4.321286440e-9,-393.0269739952
1.119000000000000,-4.334076209e-9,-392.6757256557
1.120000000000000,-4.346631499e-9,-392.3251045294
1.121000000000000,-4.359179684e-9,-391.9751089378
1.122000000000000,-4.371798923e-9,-391.6257372084
1.123000000000000,-4.383700514e-9,-391.2769876746
1.124000000000000,-4.395914743e-9,-390.9288586756
1.125000000000000,-4.407986864e-9,-390.5813485568
1.126000000000000,-4.419746347e-9,-390.2344556693
1.127000000000000,-4.431491618e-9,-389.8881783700
1.128000000000000,-4.443180046e-9,-389.5425150217
1.129000000000000,-4.454420832e-9,-389.1974639930
1.130000000000000,-4.465846359e-9,-388.8530236583
1.131000000000000,-4.477243465e-9,-388.5091923978
1.132000000000000,-4.488143190e-9,-388.1659685972
1.133000000000000,-4.499170814e-9,-387.8233506482
1.134000000000000,-4.510148699e-9,-387.4813369478
1.135000000000000,-4.520998687e-9,-387.1399258991
1.136000000000000,-4.531379716e-9,-386.7991159104
1.137000000000000,-4.542336285e-9,-386.4589053960
1.138000000000000,-4.552660471e-9,-386.1192927753
1.139000000000000,-4.562970446e-9,-385.7802764737
1.140000000000000,-4.572925150e-9,-385.4418549220
1.141000000000000,-4.583199598e-9,-385.1040265562
1.142000000000000,-4.592962455e-9,-384.7667898182
1.143000000000000,-4.603037951e-9,-384.4301431551
1.144000000000000,-4.612324744e-9,-384.0940850196
1.145000000000000,-4.622066285e-9,-383.7586138696
1.146000000000000,-4.631630190e-9,-383.4237281685
1.147000000000000,-4.641087514e-9,-383.0894263851
1.148000000000000,-4.650509311e-9,-382.7557069934
1.149000000000000,-4.659938213e-9,-382.4225684729
1.150000000000000,-4.668891052e-9,-382.0900093081
1.151000000000000,-4.677481513e-9,-381.7580279892
1.152000000000000,-4.686555144e-9,-381.4266230113
1.153000000000000,-4.695223765e-9,-381.0957928747
1.154000000000000,-4.704212131e-9,-380.7655360852
1.155000000000000,-4.712504165e-9,-380.4358511534
1.156000000000000,-4.721016467e-9,-380.1067365953
1.157000000000000,-4.729535874e-9,-379.7781909321
1.158000000000000,-4.737501058e-9,-379.4502126898
1.159000000000000,-4.745388082e-9,-379.1228003998
1.160000000000000,-4.753609062e-9,-378.7959525983
1.161000000000000,-4.761517403e-9,-378.4696678268
1.162000000000000,-4.769546535e-9,-378.1439446316
1.163000000000000,-4.776971707e-9,-377.8187815642
1.164000000000000,-4.784723728e-9,-377.4941771808
1.165000000000000,-4.792340746e-9,-377.1701300429
1.166000000000000,-4.799687758e-9,-376.8466387167
1.167000000000000,-4.806878451e-9,-376.5237017734
1.168000000000000,-4.814459942e-9,-376.2013177890
1.169000000000000,-4.821551158e-9,-375.8794853445
1.170000000000000,-4.828500266e-9,-375.5582030257
1.171000000000000,-4.835719380e-9,-375.2374694232
1.172000000000000,-4.842213741e-9,-374.9172831325
1.173000000000000,-4.848828894e-9,-374.5976427537
1.174000000000000,-4.855728264e-9,-374.2785468919
1.175000000000000,-4.862293679e-9,-373.9599941569
1.176000000000000,-4.868525139e-9,-373.6419831630
1.177000000000000,-4.875033710e-9,-373.3245125294
1.178000000000000,-4.881407278e-9,-373.0075808802
1.179000000000000,-4.887809268e-9,-372.6911868436
1.180000000000000,-4.893820460e-9,-372.3753290531
1.181000000000000,-4.899902706e-9,-372.0600061463
1.182000000000000,-4.905565731e-9,-371.7452167658
1.183000000000000,-4.911690610e-9,-371.4309595585
1.184000000000000,-4.917438901e-9,-371.1172331760
1.185000000000000,-4.922995345e-9,-370.8040362744
1.186000000000000,-4.928502051e-9,-370.4913675145
1.187000000000000,-4.934008757e-9,-370.1792255614
1.188000000000000,-4.939565201e-9,-369.8676090847
1.189000000000000,-4.944901377e-9,-369.5565167588
1.190000000000000,-4.950052812e-9,-369.2459472620
1.191000000000000,-4.955190036e-9,-368.9358992776
1.192000000000000,-4.960298838e-9,-368.6263714930
1.193000000000000,-4.965201583e-9,-368.3173626000
1.194000000000000,-4.970253542e-9,-368.0088712949
1.195000000000000,-4.974992862e-9,-367.7008962784
1.196000000000000,-4.980059032e-9,-367.3934362553
1.197000000000000,-4.984684665e-9,-367.0864899350
1.198000000000000,-4.988947921e-9,-366.7800560310
1.199000000000000,-4.993559344e-9,-366.4741332613
1.200000000000000,-4.997971814e-9,-366.1687203481
1.201000000000000,-5.002199543e-9,-365.8638160176
1.202000000000000,-5.006569381e-9,-365.5594190007
1.203000000000000,-5.010782900e-9,-365.2555280322
1.204000000000000,-5.015046156e-9,-364.9521418511
1.205000000000000,-5.019067828e-9,-364.6492592007
1.206000000000000,-5.022883443e-9,-364.3468788285
1.207000000000000,-5.026699057e-9,-364.0449994861
1.208000000000000,-5.030543093e-9,-363.7436199291
1.209000000000000,-5.034188177e-9,-363.4427389175
1.210000000000000,-5.037854578e-9,-363.1423552151
1.211000000000000,-5.041691509e-9,-362.8424675900
1.212000000000000,-5.044853424e-9,-362.5430748142
1.213000000000000,-5.048434559e-9,-362.2441756639
1.214000000000000,-5.051937535e-9,-361.9457689193
1.215000000000000,-5.054829444e-9,-361.6478533645
1.216000000000000,-5.058254260e-9,-361.3504277877
1.217000000000000,-5.061423280e-9,-361.0534909812
1.218000000000000,-5.064514141e-9,-360.7570417409
1.219000000000000,-5.067427367e-9,-360.4610788671
1.220000000000000,-5.070496911e-9,-360.1656011637
1.221000000000000,-5.073140130e-9,-359.8706074386
1.222000000000000,-5.075897036e-9,-359.5760965038
1.223000000000000,-5.078604204e-9,-359.2820671748
1.224000000000000,-5.081297161e-9,-358.9885182714
1.225000000000000,-5.083940380e-9,-358.6954486169
1.226000000000000,-5.086526755e-9,-358.4028570387
1.227000000000000,-5.088722332e-9,-358.1107423679
1.228000000000000,-5.091109756e-9,-357.8191034393
1.229000000000000,-5.093603761e-9,-357.5279390917
1.230000000000000,-5.095628808e-9,-357.2372481675
1.231000000000000,-5.098129918e-9,-356.9470295131
1.232000000000000,-5.100005751e-9,-356.6572819784
1.233000000000000,-5.102059220e-9,-356.3680044171
1.234000000000000,-5.103977685e-9,-356.0791956867
1.235000000000000,-5.106024048e-9,-355.7908546482
1.236000000000000,-5.107771983e-9,-355.5029801667
1.237000000000000,-5.109583867e-9,-355.2155711104
1.238000000000000,-5.111324697e-9,-354.9286263517
1.239000000000000,-5.112944734e-9,-354.6421447662
1.240000000000000,-5.114408452e-9,-354.3561252334
1.241000000000000,-5.115921908e-9,-354.0705666363
1.242000000000000,-5.117371416e-9,-353.7854678616
1.243000000000000,-5.119083824e-9,-353.5008277994
1.244000000000000,-5.120185165e-9,-353.2166453436
1.245000000000000,-5.121364666e-9,-352.9329193915
1.246000000000000,-5.122913649e-9,-352.6496488439
1.247000000000000,-5.124157099e-9,-352.3668326053
1.248000000000000,-5.125187386e-9,-352.0844695836
1.249000000000000,-5.125812663e-9,-351.8025586901
1.250000000000000,-5.127148484e-9,-351.5210988398
1.251000000000000,-5.128079295e-9,-351.2400889510
1.252000000000000,-5.129074054e-9,-350.9595279456
1.253000000000000,-5.129599856e-9,-350.6794147488
1.254000000000000,-5.130353031e-9,-350.3997482892
1.255000000000000,-5.131241210e-9,-350.1205274991
1.256000000000000,-5.132058334e-9,-349.8417513139
1.257000000000000,-5.132491765e-9,-349.5634186724
1.258000000000000,-5.132847036e-9,-349.2855285170
1.259000000000000,-5.133614422e-9,-349.0080797933
1.260000000000000,-5.134069170e-9,-348.7310714502
1.261000000000000,-5.134317860e-9,-348.4545024401
1.262000000000000,-5.134516812e-9,-348.1783717186
1.263000000000000,-5.134666026e-9,-347.9026782445
1.264000000000000,-5.134950243e-9,-347.6274209803
1.265000000000000,-5.135468939e-9,-347.3525988913
1.266000000000000,-5.135056824e-9,-347.0782109463
1.267000000000000,-5.135348147e-9,-346.8042561174
1.268000000000000,-5.135490255e-9,-346.5307333798
1.269000000000000,-5.135383674e-9,-346.2576417121
1.270000000000000,-5.135163406e-9,-345.9849800960
1.271000000000000,-5.135021297e-9,-345.7127475164
1.272000000000000,-5.134900505e-9,-345.4409429614
1.273000000000000,-5.134616288e-9,-345.1695654224
1.274000000000000,-5.134118908e-9,-344.8986138937
1.275000000000000,-5.133799164e-9,-344.6280873731
1.276000000000000,-5.133443892e-9,-344.3579848613
1.277000000000000,-5.133060199e-9,-344.0883053622
1.278000000000000,-5.132626768e-9,-343.8190478827
1.279000000000000,-5.131816749e-9,-343.5502114331
1.280000000000000,-5.131255421e-9,-343.2817950265
1.281000000000000,-5.130864622e-9,-343.0137976792
1.282000000000000,-5.130168290e-9,-342.7462184105
1.283000000000000,-5.129102476e-9,-342.4790562430
1.284000000000000,-5.128121927e-9,-342.2123102021
1.285000000000000,-5.127674285e-9,-341.9459793162
1.286000000000000,-5.126850056e-9,-341.6800626169
1.287000000000000,-5.125826874e-9,-341.4145591387
1.288000000000000,-5.124604741e-9,-341.1494679191
1.289000000000000,-5.123688140e-9,-340.8847879987
1.290000000000000,-5.122764435e-9,-340.6205184210
1.291000000000000,-5.121513880e-9,-340.3566582323
1.292000000000000,-5.120575963e-9,-340.0932064822
1.293000000000000,-5.119176194e-9,-339.8301622229
1.294000000000000,-5.117840374e-9,-339.5675245098
1.295000000000000,-5.116703505e-9,-339.3052924009
1.296000000000000,-5.115289525e-9,-339.0434649575
1.297000000000000,-5.113932389e-9,-338.7820412435
1.298000000000000,-5.112397616e-9,-338.5210203259
1.299000000000000,-5.111203905e-9,-338.2604012742
1.300000000000000,-5.109612289e-9,-338.0001831613
1.301000000000000,-5.107970935e-9,-337.7403650625
