 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/22/2021 15:58:40
File Marker Date: 11/20/2021 13:46:38
Al_ramp = 30.0
A_ppc = 6184.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-4.06430445e-12,-72.01882480138
1.001000000000000,3.696243311e-11,-71.94685185171
1.002000000000000,7.639044952e-11,-71.87502253451
1.003000000000000,1.154916163e-10,-71.80333642019
1.004000000000000,1.542730388e-10,-71.73179308084
1.005000000000000,1.927276116e-10,-71.66039209028
1.006000000000000,2.308624403e-10,-71.58913302400
1.007000000000000,2.686917355e-10,-71.51801545920
1.008000000000000,3.061941811e-10,-71.44703897473
1.009000000000000,3.433697771e-10,-71.37620315113
1.010000000000000,3.802540505e-10,-71.30550757059
1.011000000000000,4.168043688e-10,-71.23495181698
1.012000000000000,4.530704700e-10,-71.16453547577
1.013000000000000,4.890097216e-10,-71.09425813410
1.014000000000000,5.246505452e-10,-71.02411938073
1.015000000000000,5.599787301e-10,-70.95411880603
1.016000000000000,5.950013815e-10,-70.88425600201
1.017000000000000,6.297327104e-10,-70.81453056225
1.018000000000000,6.641869277e-10,-70.74494208195
1.019000000000000,6.982929790e-10,-70.67549015790
1.020000000000000,7.321503404e-10,-70.60617438845
1.021000000000000,7.656808521e-10,-70.53699437355
1.022000000000000,7.989626738e-10,-70.46794971470
1.023000000000000,8.319389622e-10,-70.39904001496
1.024000000000000,8.646239280e-10,-70.33026487895
1.025000000000000,8.970104659e-10,-70.26162391281
1.026000000000000,9.291341030e-10,-70.19311672424
1.027000000000000,9.609877338e-10,-70.12474292246
1.028000000000000,9.925216204e-10,-70.05650211820
1.029000000000000,1.0238068171e-9,-69.98839392372
1.030000000000000,1.0548077967e-9,-69.92041795278
1.031000000000000,1.0855316646e-9,-69.85257382064
1.032000000000000,1.1159784208e-9,-69.78486114403
1.033000000000000,1.1461693816e-9,-69.71727954120
1.034000000000000,1.1760690199e-9,-69.64982863185
1.035000000000000,1.2057057575e-9,-69.58250803716
1.036000000000000,1.2350938050e-9,-69.51531737978
1.037000000000000,1.2641976355e-9,-69.44825628379
1.038000000000000,1.2930456705e-9,-69.38132437474
1.039000000000000,1.3216450157e-9,-69.31452127963
1.040000000000000,1.3499601437e-9,-69.24784662687
1.041000000000000,1.3780407926e-9,-69.18130004631
1.042000000000000,1.4058443298e-9,-69.11488116922
1.043000000000000,1.4334062826e-9,-69.04858962829
1.044000000000000,1.4606911236e-9,-68.98242505761
1.045000000000000,1.4877485910e-9,-68.91638709266
1.046000000000000,1.5145573684e-9,-68.85047537035
1.047000000000000,1.5411174559e-9,-68.78468952893
1.048000000000000,1.5674075371e-9,-68.71902920807
1.049000000000000,1.5934631392e-9,-68.65349404878
1.050000000000000,1.6192771568e-9,-68.58808369348
1.051000000000000,1.6448495899e-9,-68.52279778591
1.052000000000000,1.6701946493e-9,-68.45763597119
1.053000000000000,1.6952768078e-9,-68.39259789577
1.054000000000000,1.7201600144e-9,-68.32768320746
1.055000000000000,1.7447518985e-9,-68.26289155539
1.056000000000000,1.7691519361e-9,-68.19822259002
1.057000000000000,1.7933103891e-9,-68.13367596316
1.058000000000000,1.8171988359e-9,-68.06925132789
1.059000000000000,1.8408954361e-9,-68.00494833864
1.060000000000000,1.8643717681e-9,-67.94076665112
1.061000000000000,1.8875923047e-9,-67.87670592236
1.062000000000000,1.9105854676e-9,-67.81276581065
1.063000000000000,1.9333725731e-9,-67.74894597560
1.064000000000000,1.9559180942e-9,-67.68524607808
1.065000000000000,1.9782575578e-9,-67.62166578023
1.066000000000000,2.0003767531e-9,-67.55820474548
1.067000000000000,2.0222614694e-9,-67.49486263850
1.068000000000000,2.0439330228e-9,-67.43163912522
1.069000000000000,2.0653843080e-9,-67.36853387283
1.070000000000000,2.0866437467e-9,-67.30554654975
1.071000000000000,2.1076758117e-9,-67.24267682565
1.072000000000000,2.1284733975e-9,-67.17992437144
1.073000000000000,2.1490791369e-9,-67.11728885922
1.074000000000000,2.1694859242e-9,-67.05476996236
1.075000000000000,2.1896653379e-9,-66.99236735541
1.076000000000000,2.2096386942e-9,-66.93008071414
1.077000000000000,2.2294059931e-9,-66.86790971554
1.078000000000000,2.2489672347e-9,-66.80585403777
1.079000000000000,2.2683508405e-9,-66.74391336020
1.080000000000000,2.2875070727e-9,-66.68208736339
1.081000000000000,2.3064785637e-9,-66.62037572908
1.082000000000000,2.3252333392e-9,-66.55877814017
1.083000000000000,2.3437998209e-9,-66.49729428076
1.084000000000000,2.3621602452e-9,-66.43592383609
1.085000000000000,2.3803359284e-9,-66.37466649258
1.086000000000000,2.3983162123e-9,-66.31352193779
1.087000000000000,2.4160797807e-9,-66.25248986043
1.088000000000000,2.4336799243e-9,-66.19156995038
1.089000000000000,2.4510811159e-9,-66.13076189862
1.090000000000000,2.4682904609e-9,-66.07006539729
1.091000000000000,2.4853079594e-9,-66.00948013965
1.092000000000000,2.5021478223e-9,-65.94900582009
1.093000000000000,2.5187922859e-9,-65.88864213411
1.094000000000000,2.5352697719e-9,-65.82838877833
1.095000000000000,2.5515412005e-9,-65.76824545047
1.096000000000000,2.5676278881e-9,-65.70821184937
1.097000000000000,2.5835369399e-9,-65.64828767495
1.098000000000000,2.5992861197e-9,-65.58847262823
1.099000000000000,2.6148399002e-9,-65.52876641131
1.100000000000000,2.6302053868e-9,-65.46916872740
1.101000000000000,2.6454181068e-9,-65.40967928076
1.102000000000000,2.6604354275e-9,-65.35029777673
1.103000000000000,2.6752893234e-9,-65.29102392173
1.104000000000000,2.6899549255e-9,-65.23185742323
1.105000000000000,2.7044748663e-9,-65.17279798976
1.106000000000000,2.7188029605e-9,-65.11384533092
1.107000000000000,2.7329676300e-9,-65.05499915734
1.108000000000000,2.7469546637e-9,-64.99625918070
1.109000000000000,2.7607711672e-9,-64.93762511373
1.110000000000000,2.7744349040e-9,-64.87909667019
1.111000000000000,2.7879245579e-9,-64.82067356486
1.112000000000000,2.8012614450e-9,-64.76235551356
1.113000000000000,2.8144349074e-9,-64.70414223312
1.114000000000000,2.8274058650e-9,-64.64603344140
1.115000000000000,2.8402382668e-9,-64.58802885726
1.116000000000000,2.8529321128e-9,-64.53012820057
1.117000000000000,2.8654412176e-9,-64.47233119221
1.118000000000000,2.8778011085e-9,-64.41463755405
1.119000000000000,2.8900117854e-9,-64.35704700896
