 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 11/22/2021 15:55:40
File Marker Date: 11/20/2021 13:46:38
Al_ramp = 30.0
A_ppc = 2500.0
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
1.000000000000000,-1.00754960e-11,-177.9739672940
1.001000000000000,-9.51700940e-11,-177.7961491570
1.002000000000000,-1.34825484e-10,-177.6186859245
1.003000000000000,-1.74168235e-10,-177.4415765349
1.004000000000000,-2.13155715e-10,-177.2648199309
1.005000000000000,-2.51922927e-10,-177.0884150594
1.006000000000000,-2.90320656e-10,-176.9123608716
1.007000000000000,-3.28519434e-10,-176.7366563226
1.008000000000000,-3.66370045e-10,-176.5613003719
1.009000000000000,-4.03957756e-10,-176.3862919831
1.010000000000000,-4.41190195e-10,-176.2116301237
1.011000000000000,-4.78259210e-10,-176.0373137655
1.012000000000000,-5.14965848e-10,-175.8633418842
1.013000000000000,-5.51366952e-10,-175.6897134598
1.014000000000000,-5.87554894e-10,-175.5164274760
1.015000000000000,-6.23494145e-10,-175.3434829208
1.016000000000000,-6.59092336e-10,-175.1708787859
1.017000000000000,-6.94420521e-10,-174.9986140672
1.018000000000000,-7.29507121e-10,-174.8266877644
1.019000000000000,-7.64288188e-10,-174.6550988812
1.020000000000000,-7.98898725e-10,-174.4838464253
1.021000000000000,-8.33132674e-10,-174.3129294080
1.022000000000000,-8.67082406e-10,-174.1423468447
1.023000000000000,-9.00911346e-10,-173.9720977547
1.024000000000000,-9.34342381e-10,-173.8021811609
1.025000000000000,-9.67588676e-10,-173.6325960902
1.026000000000000,-1.000543648e-9,-173.4633415732
1.027000000000000,-1.033306773e-9,-173.2944166444
1.028000000000000,-1.065728839e-9,-173.1258203419
1.029000000000000,-1.097866686e-9,-172.9575517076
1.030000000000000,-1.129862426e-9,-172.7896097871
1.031000000000000,-1.161524210e-9,-172.6219936298
1.032000000000000,-1.193008359e-9,-172.4547022886
1.033000000000000,-1.224201185e-9,-172.2877348203
1.034000000000000,-1.255159532e-9,-172.1210902853
1.035000000000000,-1.285798135e-9,-171.9547677473
1.036000000000000,-1.316280418e-9,-171.7887662741
1.037000000000000,-1.346506906e-9,-171.6230849368
1.038000000000000,-1.376463388e-9,-171.4577228102
1.039000000000000,-1.406249339e-9,-171.2926789725
1.040000000000000,-1.435800812e-9,-171.1279525056
1.041000000000000,-1.465011223e-9,-170.9635424950
1.042000000000000,-1.494051105e-9,-170.7994480294
1.043000000000000,-1.522842297e-9,-170.6356682014
1.044000000000000,-1.551420326e-9,-170.4722021068
1.045000000000000,-1.579778086e-9,-170.3090488448
1.046000000000000,-1.607851630e-9,-170.1462075183
1.047000000000000,-1.635768854e-9,-169.9836772335
1.048000000000000,-1.663380544e-9,-169.8214571000
1.049000000000000,-1.690821705e-9,-169.6595462308
1.050000000000000,-1.718021281e-9,-169.4979437423
1.051000000000000,-1.744943745e-9,-169.3366487542
1.052000000000000,-1.771780944e-9,-169.1756603896
1.053000000000000,-1.798284188e-9,-169.0149777751
1.054000000000000,-1.824638218e-9,-168.8546000402
1.055000000000000,-1.850679610e-9,-168.6945263181
1.056000000000000,-1.876607314e-9,-168.5347557450
1.057000000000000,-1.902293434e-9,-168.3752874607
1.058000000000000,-1.927716653e-9,-168.2161206079
1.059000000000000,-1.952983553e-9,-168.0572543326
1.060000000000000,-1.977994657e-9,-167.8986877844
1.061000000000000,-2.002849442e-9,-167.7404201155
1.062000000000000,-2.027441326e-9,-167.5824504818
1.063000000000000,-2.051805836e-9,-167.4247780421
1.064000000000000,-2.076056660e-9,-167.2674019585
1.065000000000000,-2.100058794e-9,-167.1103213962
1.066000000000000,-2.123812237e-9,-166.9535355234
1.067000000000000,-2.147423572e-9,-166.7970435117
1.068000000000000,-2.170835955e-9,-166.6408445356
1.069000000000000,-2.194013859e-9,-166.4849377727
1.070000000000000,-2.217021233e-9,-166.3293224038
1.071000000000000,-2.239772812e-9,-166.1739976126
1.072000000000000,-2.262403598e-9,-166.0189625859
1.073000000000000,-2.284821221e-9,-165.8642165135
